split_family,heldout_regime,model_id,family,description,n_features,n_test_cities,city,event_id,n_tokens,spearman,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Dallas,56,1200,0.9331986863,0.9144616611,0.9013387399,0.3833333333
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Dallas,57,1200,0.9325831816,0.9144616611,0.90133874,0.3833333333
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Dallas,58,1200,0.9329189706,0.9144616611,0.9013387399,0.3833333333
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Dallas,59,1200,0.9336583003,0.9144616611,0.9013387399,0.3833333333
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Dallas,60,1200,0.9318278222,0.9144616611,0.9013387399,0.3833333333
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Dallas,61,1200,0.9322389466,0.9144616611,0.9013387399,0.3833333333
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Dallas,62,1200,0.9322961943,0.9144616611,0.9013387399,0.3833333333
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Dallas,63,1200,0.9329246272,0.9144616611,0.9013387399,0.3833333333
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Dallas,64,1200,0.9312300824,0.9144616611,0.9013387399,0.3833333333
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Houston,60,1200,0.9724389517,0.987096242,0.9891989548,0.9
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Houston,61,1200,0.9723547526,0.987096242,0.9891989548,0.9
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Houston,62,1200,0.9723785555,0.987096242,0.9891989548,0.9
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,New York,102,1960,0.9418874352,0.9825370506,0.9651785929,0.8571428571
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,New York,103,2050,0.9343559985,0.9832696009,0.9661979328,0.8446601942
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,New York,104,2311,0.9245801497,0.968239228,0.9567819439,0.8017241379
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,New York,105,2026,0.9320525284,0.9835169834,0.9662701196,0.8431372549
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,New York,107,2148,0.9261659136,0.9810371511,0.9651134269,0.8425925926
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,New York,108,2346,0.9229547805,0.9697418426,0.957945691,0.8050847458
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,New York,109,2181,0.9259015579,0.9766577512,0.9622369622,0.8363636364
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,New York,110,1947,0.941273584,0.9825370506,0.9651785929,0.8571428571
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,New York,111,2098,0.9270173168,0.9823170965,0.965728871,0.8476190476
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,New York,121,2076,0.9338615845,0.9825537147,0.9657987243,0.8461538462
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,New York,122,1959,0.9419946475,0.9825370506,0.9651785929,0.8571428571
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,New York,123,1945,0.9423308681,0.9825370506,0.9651785929,0.8571428571
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Philadelphia,656,1966,0.9554825375,0.98643017,0.9888115218,0.8787878788
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,San Antonio,502,1242,0.9748022161,0.9912030057,0.9920829808,0.873015873
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,San Antonio,507,1200,0.9734342092,0.989631324,0.9910839563,0.85
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,San Antonio,508,1200,0.9749273555,0.989631324,0.9910839563,0.85
