city,event_id,t,intervention,n_tokens,total_value,score_id,description,spearman,top10_value_capture,top10_ndcg,top10_precision
Austin,478,6,S,47,2.631492901101,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.31255781683626277,0.34925181581523834,0.36295427677548403,0.0
Austin,478,6,S,47,2.631492901101,S1_deficit_only,within-channel local/access deficit only,0.11239592969472711,0.6714414663218042,0.6628737630724287,0.2
Austin,478,6,S,47,2.631492901101,S2_exposure_only,within-channel OD exposure only,0.9988436632747456,1.0,1.0,1.0
Austin,478,6,S,47,2.631492901101,S3_structure_only,within-channel static OD structure only,-0.08938482886216467,0.5250083920373407,0.4926412566487846,0.0
Austin,478,6,S,47,2.631492901101,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9988436632747456,1.0,1.0,1.0
Austin,478,6,S,47,2.631492901101,S5_full_activation,within-channel activated bottleneck score with eta/cost,1.0,1.0,1.0,1.0
Austin,478,7,C,45,2.312909642832,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.9999999999999999,0.13669829172918965,0.10869355122640127,0.0
Austin,478,7,C,45,2.312909642832,S1_deficit_only,within-channel local/access deficit only,0.9999999999999999,1.0,1.0,1.0
Austin,478,7,C,45,2.312909642832,S2_exposure_only,within-channel OD exposure only,0.9999999999999999,1.0,1.0,1.0
Austin,478,7,C,45,2.312909642832,S3_structure_only,within-channel static OD structure only,0.03873517786561265,0.7964842226036355,0.6813197510007537,0.2
Austin,478,7,C,45,2.312909642832,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9999999999999999,1.0,1.0,1.0
Austin,478,7,C,45,2.312909642832,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999999,1.0,1.0,1.0
Austin,478,7,S,45,2.45522288069,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.28656126482213434,0.28082883203264414,0.23146571152042525,0.0
Austin,478,7,S,45,2.45522288069,S1_deficit_only,within-channel local/access deficit only,0.029117259552042155,0.6227201134999106,0.5504265068295322,0.2
Austin,478,7,S,45,2.45522288069,S2_exposure_only,within-channel OD exposure only,0.9990777338603425,1.0,1.0,1.0
Austin,478,7,S,45,2.45522288069,S3_structure_only,within-channel static OD structure only,-0.0044795783926218705,0.564222356663796,0.5257786749126734,0.0
