city,event_id,event_start,policy_scenario,budget_scale,delay_add_hours,baseline_objective,optimized_objective,lp_recoverable_fraction,static_replay_gain,static_replay_recoverable_fraction,static_fraction_of_base_lp_gain,static_selected_action_count,static_allocated_cost,event_peak_positive_abnormal_deficit,event_total_precip,residual_replay_gain,residual_replay_recoverable_fraction,residual_fraction_of_base_lp_gain,residual_selected_action_count,residual_allocated_cost,residual_value_proxy,residual_minus_static_fraction_of_base_lp_gain,residual_minus_static_recoverable_fraction,residual_relative_to_static_gain
Philadelphia,642,2023-07-07 17:00:00,delay_4h,1,4,0.004404859881,0.003539557703,0.1964426113,0.00042443967,0.09635713315,0.4905103454,77,0.2104896005,0.0008256984963,0.01574804,0.0007367641106,0.1672616452,0.8514529718,142,0.2104896005,0.1828640909,0.3609426264,0.07090451206,1.7358512
Philadelphia,643,2023-07-08 16:00:00,delay_4h,1,4,0.0234280212,0.01943689461,0.1703569651,0.002172096693,0.09271362163,0.5442314706,435,1.050453439,0.003739478326,0.549212895,0.002985038502,0.1274131723,0.7479187731,716,1.050453439,0.1410230149,0.2036873025,0.03469955069,1.374265939
Philadelphia,644,2023-07-09 11:00:00,delay_4h,1,4,0.1110530288,0.09460058211,0.1481494643,0.0142997471,0.1287650346,0.8691562623,1154,5.051169419,0.02620668832,0.809055555,0.01462923445,0.1317319717,0.8891829095,1234,5.051169419,0.1319848746,0.02002664719,0.002966937087,1.023041481
Philadelphia,645,2023-07-09 18:00:00,delay_4h,1,4,0.09158145415,0.07927351959,0.1343933078,0.006499151641,0.07096580526,0.5280456773,1154,3.906858365,0.02620668832,0.592520005,0.008697939062,0.09497489577,0.706693639,1868,3.906858365,0.105584633,0.1786479617,0.02400909051,1.338319144
Philadelphia,646,2023-07-14 06:00:00,delay_4h,1,4,0.0218368079,0.01804493322,0.1736460156,0.002445801411,0.1120036143,0.6450111394,392,0.95363987,0.003129179863,0.15354339,0.003147696685,0.1441463743,0.8301162213,560,0.95363987,0.1472180731,0.1851050819,0.03214275998,1.286979667
Philadelphia,647,2023-07-14 08:00:00,delay_4h,1,4,0.01199311988,0.009781906475,0.1843734931,0.001187236454,0.09899312821,0.5369162702,203,0.5188237906,0.001727634009,0.005905515,0.001755872584,0.1464066567,0.7940764924,321,0.5188237906,0.1607480792,0.2571602222,0.04741352844,1.478957775
Philadelphia,648,2023-07-16 04:00:00,delay_4h,1,4,0.08146607583,0.06766638073,0.1693919213,0.01166688182,0.1432115356,0.8454448978,1154,4.075417135,0.01069273532,0.50787429,0.01183255375,0.1452451665,0.8574503757,1236,4.075417135,0.1452451665,0.01200547788,0.002033630917,1.014200189
Philadelphia,649,2023-07-16 10:00:00,delay_4h,1,4,0.07318801366,0.06262764503,0.1442909584,0.00704718675,0.09628881011,0.6673239349,1154,3.112940798,0.01069273532,0.61811057,0.008392560865,0.114671248,0.7947223393,1505,3.112940798,0.1161106069,0.1273984044,0.01838243788,1.190909389
Philadelphia,650,2023-07-16 19:00:00,delay_4h,1,4,0.0243808805,0.02016489459,0.1729218069,0.002840255835,0.1164952117,0.6736872219,486,1.140890303,0.001318960432,0.12992133,0.003493943746,0.1433067089,0.8287370549,733,1.140890303,0.1501806513,0.155049833,0.02681149724,1.230151067
Philadelphia,651,2023-07-18 11:00:00,delay_4h,1,4,0.09123606506,0.07674684299,0.1588102475,0.01240597537,0.1359766597,0.8562209423,1154,4.296730118,0.01025791362,0.01574804,0.01257340864,0.1378118251,0.8677766535,1193,4.296730118,0.1378113132,0.01155571115,0.001835165384,1.013496179
