city,event_id,policy_scenario,budget_scale,delay_add_hours,n_replans,mean_pass_cost,final_remaining_total
San Antonio,509,delay_2h,1,2,10,0.1214792663,6.964914756e-16
Austin,478,delay_4h,1,4,10,0.1459143153,9.324138683e-16
Austin,479,delay_4h,1,4,10,0.2026517436,7.997075224e-16
Austin,480,delay_4h,1,4,10,0.1452910912,6.071532166e-18
Austin,481,delay_4h,1,4,10,0.06243899333,0
Austin,482,delay_4h,1,4,10,0.2117400717,2.301110691e-15
Austin,483,delay_4h,1,4,10,0.1029055544,0
Austin,484,delay_4h,1,4,10,0.1429619699,0
Austin,485,delay_4h,1,4,10,0.2127726012,6.505213035e-17
Austin,486,delay_4h,1,4,10,0.2883270223,6.305719835e-16
Austin,487,delay_4h,1,4,10,0.2479363013,1.8067145e-15
Austin,488,delay_4h,1,4,10,0.09527473834,1.87653712e-15
Austin,489,delay_4h,1,4,10,0.04440993661,5.637851297e-18
Austin,490,delay_4h,1,4,10,0.1204869036,0
Austin,491,delay_4h,1,4,10,0.02785626198,8.760353554e-17
Austin,492,delay_4h,1,4,10,0.1517016101,1.046255096e-15
Chicago,145,delay_4h,1,4,10,0.4923071805,3.697129408e-16
Chicago,146,delay_4h,1,4,10,0.1604000064,8.304988641e-17
Chicago,147,delay_4h,1,4,10,0.1520669143,3.512815039e-17
Chicago,149,delay_4h,1,4,10,0.06505468607,2.186835782e-16
Chicago,150,delay_4h,1,4,10,0.3463301657,3.816391647e-17
Chicago,152,delay_4h,1,4,10,0.3013699282,2.107689023e-15
Chicago,153,delay_4h,1,4,10,1.698127064,3.479161403e-14
Chicago,154,delay_4h,1,4,10,0.1815836829,0
Chicago,155,delay_4h,1,4,10,0.5686823028,5.755161972e-15
Chicago,156,delay_4h,1,4,10,0.3129048538,0
Chicago,157,delay_4h,1,4,10,1.20773303,9.119441313e-15
Chicago,158,delay_4h,1,4,10,0.9754483208,4.622951327e-14
Chicago,159,delay_4h,1,4,10,0.6007195289,0
Dallas,55,delay_4h,1,4,10,0.5223364031,1.301042607e-16
Dallas,56,delay_4h,1,4,10,0.469474522,1.045170894e-15
Dallas,57,delay_4h,1,4,10,0.458733773,9.650266697e-15
Dallas,58,delay_4h,1,4,10,0.5281583299,0
Dallas,59,delay_4h,1,4,10,0.5358569577,9.063930162e-17
Dallas,60,delay_4h,1,4,10,0.6024098126,6.918510903e-15
Dallas,61,delay_4h,1,4,10,0.538242858,3.422609418e-15
Dallas,62,delay_4h,1,4,10,0.1973000234,4.841396381e-15
Dallas,63,delay_4h,1,4,10,0.3232815079,3.407430588e-15
Dallas,64,delay_4h,1,4,10,0.4411401083,1.877838163e-16
Houston,52,delay_4h,1,4,10,0.1504974668,2.800711052e-15
Houston,60,delay_4h,1,4,10,0.6243465092,6.418476861e-17
Houston,61,delay_4h,1,4,10,0.6450370683,6.92675084e-15
Houston,62,delay_4h,1,4,10,0.7008516945,5.296110772e-15
New York,98,delay_4h,1,4,10,0.3596110992,6.982261991e-17
New York,99,delay_4h,1,4,10,0.8431912331,0
New York,100,delay_4h,1,4,10,0.9423734096,4.90059382e-16
New York,101,delay_4h,1,4,10,0.9423734096,0
New York,102,delay_4h,1,4,10,1.811111689,1.45239723e-15
New York,103,delay_4h,1,4,10,2.559521297,0
New York,104,delay_4h,1,4,10,4.171031263,3.842065555e-14
New York,105,delay_4h,1,4,10,1.33353173,9.150666336e-16
New York,106,delay_4h,1,4,10,0.8609963856,1.92120625e-16
New York,107,delay_4h,1,4,10,2.686712664,0
New York,108,delay_4h,1,4,10,2.370961504,3.410813298e-14
New York,109,delay_4h,1,4,10,5.820723774,0
New York,110,delay_4h,1,4,10,4.02881086,1.471600619e-13
New York,111,delay_4h,1,4,10,1.859735783,5.000166947e-14
New York,112,delay_4h,1,4,10,0.32705583,0
New York,113,delay_4h,1,4,10,0.3199223672,0
New York,115,delay_4h,1,4,10,0.1521707899,3.107757107e-15
New York,116,delay_4h,1,4,10,0.1521707899,3.01928621e-15
New York,117,delay_4h,1,4,10,0.1521707899,2.084703937e-15
New York,119,delay_4h,1,4,10,0.3846498066,8.170547572e-16
New York,120,delay_4h,1,4,10,0.3846498066,4.792173602e-17
New York,121,delay_4h,1,4,10,3.507910644,2.335544952e-14
New York,122,delay_4h,1,4,10,2.37154995,1.265229241e-13
New York,123,delay_4h,1,4,10,1.662784393,1.014813233e-16
Philadelphia,640,delay_4h,1,4,10,0.04128202335,0
Philadelphia,641,delay_4h,1,4,10,0.02182709443,3.209238431e-17
Philadelphia,642,delay_4h,1,4,10,0.02104896005,2.602085214e-18
Philadelphia,643,delay_4h,1,4,10,0.1050453439,8.517492267e-16
