city,event_id,event_start,perturbation_id,unit,t,intervention,perturbed_u,perturbed_e,perturbed_cost
San Antonio,506,2024-07-27 11:00:00,0,239,0,C,0.002805674777,0.0009366076658,0.002779265431
San Antonio,506,2024-07-27 11:00:00,0,239,1,C,0.00130558192,0.0004162647133,0.001276631977
San Antonio,506,2024-07-27 11:00:00,0,239,2,C,0.000232418729,7.365032164e-05,0.0002163799259
San Antonio,506,2024-07-27 11:00:00,0,239,4,C,0.0002253527054,7.293366558e-05,0.0002250345119
San Antonio,506,2024-07-27 11:00:00,0,239,5,C,8.503466442e-05,2.770225657e-05,8.271134774e-05
San Antonio,506,2024-07-27 11:00:00,0,239,6,C,6.111964763e-05,1.999686802e-05,6.066950542e-05
San Antonio,506,2024-07-27 11:00:00,0,239,7,C,4.469730113e-05,1.443473494e-05,4.344545815e-05
San Antonio,506,2024-07-27 11:00:00,0,239,8,C,3.167542786e-05,1.041971035e-05,3.089688924e-05
San Antonio,506,2024-07-27 11:00:00,0,245,2,C,0.002191011345,0.0006802339889,0.0017402633
San Antonio,506,2024-07-27 11:00:00,0,245,5,C,0.0001993074757,6.360318905e-05,0.0001663270594
San Antonio,506,2024-07-27 11:00:00,0,268,0,C,0.002751023808,0.0008860786175,0.002511187216
San Antonio,506,2024-07-27 11:00:00,0,268,1,C,0.001654261734,0.000507529361,0.001488384178
San Antonio,506,2024-07-27 11:00:00,0,268,2,C,0.0002692007959,8.205621126e-05,0.0002292725535
San Antonio,506,2024-07-27 11:00:00,0,268,3,C,0.0002056045088,5.955097499e-05,0.0001962640316
San Antonio,506,2024-07-27 11:00:00,0,268,4,C,0.0001386511555,4.32181619e-05,0.0001277015198
San Antonio,506,2024-07-27 11:00:00,0,268,5,C,9.992621698e-05,3.136488559e-05,8.937856946e-05
San Antonio,506,2024-07-27 11:00:00,0,268,6,C,7.219151514e-05,2.276256104e-05,6.604947156e-05
San Antonio,506,2024-07-27 11:00:00,0,268,7,C,5.311886828e-05,1.651956241e-05,4.74746033e-05
San Antonio,506,2024-07-27 11:00:00,0,268,8,C,3.780527068e-05,1.198880661e-05,3.392116238e-05
San Antonio,506,2024-07-27 11:00:00,0,268,9,C,2.708044176e-05,8.700683494e-06,2.44311565e-05
San Antonio,506,2024-07-27 11:00:00,0,280,2,C,0.002601005153,0.0007410281171,0.002492019669
San Antonio,506,2024-07-27 11:00:00,0,280,4,C,0.0002507711104,7.313985423e-05,0.0002572251153
San Antonio,506,2024-07-27 11:00:00,0,280,5,C,9.457565285e-05,2.778581342e-05,9.455774414e-05
San Antonio,506,2024-07-27 11:00:00,0,280,6,C,6.795424452e-05,2.005975072e-05,6.929838019e-05
San Antonio,506,2024-07-27 11:00:00,0,297,1,S,0.001334667638,0.0005257985201,0.000831433202
San Antonio,506,2024-07-27 11:00:00,0,297,2,C,0.002425511437,0.0006967329095,0.001997408257
San Antonio,506,2024-07-27 11:00:00,0,297,3,S,0.0004260843585,0.0001721169326,0.0002586538869
San Antonio,506,2024-07-27 11:00:00,0,297,4,S,0.0001752533655,7.123670732e-05,0.0001164099723
San Antonio,506,2024-07-27 11:00:00,0,297,7,S,0.0001442083066,5.757360499e-05,8.985686024e-05
San Antonio,506,2024-07-27 11:00:00,0,297,8,S,5.241723363e-05,2.144616505e-05,3.481589605e-05
San Antonio,506,2024-07-27 11:00:00,0,33,3,S,0.0008935682309,0.0003683885025,0.0005497265226
San Antonio,506,2024-07-27 11:00:00,0,33,4,S,0.0002298027585,9.531189957e-05,0.0001542477545
