city,event_id,unit,t,intervention,selected_count,mean_perturbed_cost,total_perturbed_cost,n_successful_perturbations,selection_frequency,selected_by_base_lp,selected_by_static_small_signal_greedy,selected_by_residual_finite_greedy
Philadelphia,656,169,1,C,3,0.008309458255,0.02492837476,3,1,True,True,True
Philadelphia,656,267,5,C,3,0.008274047635,0.02482214291,3,1,True,True,True
Chicago,159,551,3,C,3,0.008255116989,0.02476535097,3,1,True,True,True
Philadelphia,656,53,4,C,3,0.008216008986,0.02464802696,3,1,True,True,True
Chicago,159,770,2,C,3,0.008215237982,0.02464571395,3,1,True,True,True
Chicago,159,391,0,C,3,0.008210523108,0.02463156932,3,1,True,True,True
Philadelphia,656,550,4,C,3,0.008181657992,0.02454497398,3,1,True,True,True
Chicago,159,773,3,C,3,0.008169532423,0.02450859727,3,1,True,True,True
Philadelphia,656,413,5,C,3,0.008168958126,0.02450687438,3,1,True,True,True
Chicago,159,849,10,C,3,0.008162639591,0.02448791877,3,1,True,True,True
Philadelphia,656,426,4,C,3,0.008161353433,0.0244840603,3,1,True,True,True
Philadelphia,656,314,5,C,3,0.008148191164,0.02444457349,3,1,True,True,True
Chicago,159,773,0,C,3,0.00814576795,0.02443730385,3,1,True,True,True
Chicago,159,396,4,C,3,0.008128719379,0.02438615814,3,1,True,True,True
Chicago,159,391,1,C,3,0.008126975185,0.02438092555,3,1,True,True,True
Chicago,159,793,5,C,3,0.008111174911,0.02433352473,3,1,True,True,True
Philadelphia,656,53,5,C,3,0.008075147444,0.02422544233,3,1,True,True,True
Philadelphia,656,350,5,C,3,0.007998899868,0.0239966996,3,1,True,True,True
Chicago,159,282,3,C,3,0.007947803936,0.02384341181,3,1,True,True,True
Chicago,159,282,4,C,3,0.007937481195,0.02381244359,3,1,True,True,True
Chicago,159,845,0,C,3,0.007936561373,0.02380968412,3,1,True,True,True
Chicago,159,849,4,C,3,0.007928248132,0.0237847444,3,1,True,True,True
Philadelphia,656,550,5,C,3,0.007888087202,0.02366426161,3,1,True,True,True
Chicago,159,770,1,C,3,0.007864753736,0.02359426121,3,1,True,True,True
Chicago,159,700,4,C,3,0.007853964756,0.02356189427,3,1,True,True,True
Chicago,159,733,0,C,3,0.007846873144,0.02354061943,3,1,True,True,True
Chicago,159,773,4,C,3,0.007836199903,0.02350859971,3,1,True,True,True
Chicago,159,47,0,C,3,0.00782668581,0.02348005743,3,1,True,True,True
Chicago,159,733,3,C,3,0.007770921343,0.02331276403,3,1,True,True,True
Chicago,159,173,10,C,3,0.007607146397,0.02282143919,3,1,True,True,True
Chicago,159,64,0,C,3,0.007551447362,0.02265434209,3,1,True,True,True
Chicago,159,719,10,C,3,0.007530530393,0.02259159118,3,1,True,True,True
Chicago,159,411,4,C,3,0.007442427358,0.02232728207,3,1,True,True,True
Chicago,159,64,1,C,3,0.007404852643,0.02221455793,3,1,True,True,True
Philadelphia,656,400,1,C,3,0.007365037881,0.02209511364,3,1,True,True,True
Philadelphia,656,583,1,C,3,0.007360245066,0.0220807352,3,1,True,True,True
Philadelphia,656,603,4,C,3,0.00734248183,0.02202744549,3,1,True,True,True
Philadelphia,656,603,3,C,3,0.007300161374,0.02190048412,3,1,True,True,True
Philadelphia,656,454,4,C,3,0.007229980928,0.02168994278,3,1,True,True,True
Philadelphia,656,400,4,C,3,0.00722680093,0.02168040279,3,1,True,True,True
Philadelphia,656,603,5,C,3,0.007219740122,0.02165922037,3,1,True,True,True
Philadelphia,656,583,4,C,3,0.007219335446,0.02165800634,3,1,True,True,True
Philadelphia,656,454,0,C,3,0.007207923477,0.02162377043,3,1,True,True,True
Philadelphia,656,400,0,C,3,0.007204059417,0.02161217825,3,1,True,True,True
Philadelphia,656,454,3,C,3,0.007189653629,0.02156896089,3,1,True,True,True
Chicago,159,562,0,C,3,0.007189537259,0.02156861178,3,1,True,True,True
Philadelphia,656,603,2,C,3,0.007186933662,0.02156080099,3,1,True,True,True
Philadelphia,656,400,3,C,3,0.007185222971,0.02155566891,3,1,True,True,True
Philadelphia,656,583,3,C,3,0.00717695362,0.02153086086,3,1,True,True,True
Philadelphia,656,546,5,C,3,0.007167297805,0.02150189342,3,1,True,True,True
Philadelphia,656,493,5,C,3,0.007140842257,0.02142252677,3,1,True,True,True
Philadelphia,656,113,5,C,3,0.007134744861,0.02140423458,3,1,True,True,True
Chicago,159,562,1,C,3,0.007125454846,0.02137636454,3,1,True,True,True
Philadelphia,656,400,5,C,3,0.00710621268,0.02131863804,3,1,True,True,True
Philadelphia,656,306,1,C,3,0.007103559317,0.02131067795,3,1,True,True,True
Philadelphia,656,583,5,C,3,0.007096415746,0.02128924724,3,1,True,True,True
Philadelphia,656,454,2,C,3,0.007081758573,0.02124527572,3,1,True,True,True
Philadelphia,656,400,2,C,3,0.007073981797,0.02122194539,3,1,True,True,True
Chicago,159,173,4,C,3,0.007069014512,0.02120704354,3,1,True,True,True
Philadelphia,656,583,2,C,3,0.007063561712,0.02119068514,3,1,True,True,True
Philadelphia,656,489,4,C,3,0.007058579021,0.02117573706,3,1,True,True,True
Philadelphia,656,147,4,C,3,0.007057118717,0.02117135615,3,1,True,True,True
Philadelphia,656,493,6,C,3,0.007046961789,0.02114088537,3,1,True,True,True
Philadelphia,656,562,1,C,3,0.007041182141,0.02112354642,3,1,True,True,True
Philadelphia,656,454,6,C,3,0.007029094121,0.02108728236,3,1,True,True,True
Philadelphia,656,400,6,C,3,0.007019684076,0.02105905223,3,1,True,True,True
Philadelphia,656,147,3,C,3,0.007015618668,0.021046856,3,1,True,True,True
Philadelphia,656,390,1,C,3,0.006983486049,0.02095045815,3,1,True,True,True
Philadelphia,656,450,0,C,3,0.006982225636,0.02094667691,3,1,True,True,True
Philadelphia,656,306,4,C,3,0.00696931877,0.02090795631,3,1,True,True,True
Philadelphia,656,59,5,C,3,0.006963047898,0.02088914369,3,1,True,True,True
Philadelphia,656,306,0,C,3,0.00694723471,0.02084170413,3,1,True,True,True
Philadelphia,656,94,1,C,3,0.006946807818,0.02084042345,3,1,True,True,True
Philadelphia,656,248,4,C,3,0.006943795598,0.02083138679,3,1,True,True,True
Philadelphia,656,540,1,C,3,0.006943523522,0.02083057057,3,1,True,True,True
Philadelphia,656,147,5,C,3,0.006936756427,0.02081026928,3,1,True,True,True
Philadelphia,656,489,5,C,3,0.006931769995,0.02079530998,3,1,True,True,True
Chicago,159,209,4,C,3,0.006931730436,0.02079519131,3,1,True,True,True
Philadelphia,656,603,6,C,3,0.006930023039,0.02079006912,3,1,True,True,True
Philadelphia,656,306,3,C,3,0.006928942822,0.02078682847,3,1,True,True,True
Philadelphia,656,234,5,C,3,0.006909839219,0.02072951766,3,1,True,True,True
Philadelphia,656,562,4,C,3,0.006907633643,0.02072290093,3,1,True,True,True
Philadelphia,656,147,2,C,3,0.00690458594,0.02071375782,3,1,True,True,True
Philadelphia,656,59,4,C,3,0.006894200541,0.02068260162,3,1,True,True,True
Philadelphia,656,562,0,C,3,0.006885663432,0.0206569903,3,1,True,True,True
Philadelphia,656,312,0,C,3,0.006883313179,0.02064993954,3,1,True,True,True
Philadelphia,656,515,1,C,3,0.006872231338,0.02061669401,3,1,True,True,True
Philadelphia,656,312,3,C,3,0.00686491386,0.02059474158,3,1,True,True,True
Chicago,159,31,2,C,3,0.00686433364,0.02059300092,3,1,True,True,True
Philadelphia,656,306,5,C,3,0.006852216703,0.02055665011,3,1,True,True,True
Philadelphia,656,147,6,C,3,0.006850389963,0.02055116989,3,1,True,True,True
Philadelphia,656,390,4,C,3,0.006847144234,0.0205414327,3,1,True,True,True
Philadelphia,656,390,0,C,3,0.006824714492,0.02047414348,3,1,True,True,True
Philadelphia,656,48,5,C,3,0.006824670122,0.02047401037,3,1,True,True,True
Philadelphia,656,306,2,C,3,0.006820917608,0.02046275282,3,1,True,True,True
Chicago,159,257,4,C,3,0.006819320541,0.02045796162,3,1,True,True,True
Philadelphia,656,505,5,C,3,0.006819203118,0.02045760935,3,1,True,True,True
Philadelphia,656,248,5,C,3,0.006817256254,0.02045176876,3,1,True,True,True
Philadelphia,656,94,4,C,3,0.006812527087,0.02043758126,3,1,True,True,True
Philadelphia,656,540,4,C,3,0.006806534802,0.02041960441,3,1,True,True,True
