model_id,family,description,train_mode,train_parameter_scenario,test_parameter_scenario,heldout_city,n_features,city,event_id,n_tokens,total_value,spearman,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,101,2057,21.98153524,0.7526150545,0.9329577888,0.914870243,0.4285714286,0.06704221121,0.9086632869,0.9091448417,0.6699029126,0.09133671307,0.9161935472,0.9145786626,0.6601941748,0.08380645278
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,102,1960,9.344483791,0.768588997,0.930762015,0.912982431,0.4,0.06923798505,0.9097925629,0.9099350159,0.6836734694,0.09020743712,0.9155178053,0.9140508793,0.6581632653,0.0844821947
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,103,2050,8.523889894,0.7561768277,0.9329577888,0.914870243,0.4285714286,0.06704221121,0.9086632869,0.9091448417,0.6699029126,0.09133671306,0.9161682263,0.9145559239,0.6585365854,0.08383177367
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,104,2311,6.545711907,0.7306016069,0.9376972462,0.9192898179,0.5,0.06230275383,0.9097855657,0.9098947909,0.6379310345,0.0902144343,0.9173114753,0.9154995798,0.6767241379,0.08268852469
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,105,2026,11.70624874,0.7510635472,0.9329577887,0.9148702429,0.4285714286,0.06704221129,0.9088494815,0.9092763156,0.6666666667,0.09115051852,0.9158585236,0.9143253681,0.6600985222,0.08414147635
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,106,3249,47.71661125,0.655744808,0.9448809245,0.9273665205,0.5454545455,0.05511907552,0.910140212,0.9101332331,0.6441717791,0.08985978798,0.9155661284,0.9141840419,0.7046153846,0.08443387159
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,107,2148,8.438926262,0.7408712365,0.934277893,0.9161931794,0.4545454545,0.06572210703,0.9082496821,0.9088432039,0.6666666667,0.09175031793,0.9162389595,0.9146526783,0.6651162791,0.08376104053
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,108,2346,12.14497868,0.7279881054,0.9376972461,0.9192898178,0.5,0.06230275389,0.9097303419,0.9098551578,0.6355932203,0.09026965812,0.9172693274,0.915483007,0.6765957447,0.08273067258
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,109,2181,4.356316252,0.7405736432,0.9342778929,0.9161931794,0.4545454545,0.06572210708,0.9082405718,0.9088300843,0.6636363636,0.09175942821,0.9162363176,0.9146686561,0.6712328767,0.08376368244
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,110,1947,4.297576751,0.7607885316,0.930762015,0.912982431,0.4,0.06923798498,0.9097925629,0.9099350159,0.6836734694,0.09020743711,0.9156360575,0.9141307983,0.6564102564,0.08436394247
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,111,2098,10.32711235,0.7429601902,0.9329577888,0.914870243,0.4285714286,0.06704221119,0.9086350265,0.9091195723,0.6761904762,0.09136497353,0.9165325462,0.914840363,0.6619047619,0.08346745383
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,112,1462,41.73852972,0.8169382836,0.9153386317,0.9006683529,0.2,0.08466136835,0.9309442365,0.9240337165,0.6621621622,0.06905576349,0.9099553484,0.9099971562,0.6394557823,0.09004465158
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,113,1360,33.97658186,0.827298645,0.911798761,0.8979128533,0.2142857143,0.08820123902,0.9295101686,0.9227030036,0.6617647059,0.07048983137,0.9088582679,0.909234842,0.6323529412,0.09114173205
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,115,1320,83.78960429,0.8136633564,0.9980400317,0.9979099423,0.9285714286,0.001959968301,0.9176719285,0.9368990979,0.5909090909,0.08232807146,0.9252889055,0.9361097648,0.6590909091,0.0747110945
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,116,1230,70.27419101,0.830528913,0.8970981452,0.8840616193,0.07692307692,0.1029018548,0.9064999187,0.9018268342,0.5967741935,0.09350008131,0.8888711616,0.8896131387,0.5691056911,0.1111288384
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,117,1284,65.5913231,0.8296018384,0.9076423281,0.8947809565,0.1538461538,0.09235767192,0.9305653364,0.9232208049,0.6769230769,0.06943466365,0.9099709592,0.9100190866,0.6279069767,0.09002904082
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,119,2182,59.98645777,0.8288168491,0.8822903663,0.911260725,0.5,0.1177096337,0.8808799839,0.8953467961,0.6181818182,0.1191200161,0.8994862651,0.9047685654,0.6210045662,0.1005137349
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,120,1439,32.79672496,0.7952631322,0.9409061404,0.9331355206,0.1333333333,0.05909385961,0.8869868777,0.8984269743,0.6111111111,0.1130131223,0.8988360455,0.9033169538,0.5972222222,0.1011639545
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,121,2076,5.721431884,0.7554052895,0.9329577888,0.914870243,0.4285714286,0.06704221122,0.9084944908,0.9090250853,0.6730769231,0.09150550923,0.9166670309,0.9149269301,0.6634615385,0.0833329691
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,122,1959,6.943060282,0.7649067964,0.930762015,0.912982431,0.4,0.06923798502,0.9097925629,0.9099350158,0.6836734694,0.09020743712,0.9155178053,0.9140508793,0.6581632653,0.08448219468
