window_hours,target,feature,spearman
6,recoverable_fraction,n_units,0.1517191502
6,recoverable_fraction,early_mean_deficit_mean,-0.09301264773
6,recoverable_fraction,early_precip_max,-0.09712424216
6,recoverable_fraction,event_peak_precip_observed_so_far,-0.09712424216
6,recoverable_fraction,early_precip_mean,-0.1271548396
6,recoverable_fraction,early_precip_sum,-0.1271548396
6,recoverable_fraction,early_p90_deficit_max,-0.1693361947
6,recoverable_fraction,early_last_precip,-0.1696929881
6,recoverable_fraction,q_density,-0.2135417692
6,recoverable_fraction,early_rainy_hour_share,-0.2247802504
6,recoverable_fraction,early_positive_deficit_last,-0.2910217484
6,recoverable_fraction,early_abnormal_deficit_mean,-0.4961849471
6,recoverable_fraction,early_positive_deficit_start,-0.5069725848
6,recoverable_fraction,mean_a_retention,-0.5349098926
6,recoverable_fraction,city_signal_b0,-0.5415016336
6,recoverable_fraction,weighted_b0,-0.5415016336
6,recoverable_fraction,early_positive_deficit_mean,-0.5546383905
6,recoverable_fraction,early_positive_deficit_sum,-0.5546383905
6,recoverable_fraction,early_positive_deficit_max,-0.5639138001
6,recoverable_fraction,delay_C,
6,recoverable_fraction,delay_R,
6,recoverable_fraction,delay_S,
12,recoverable_fraction,early_positive_deficit_slope,0.4293816828
12,recoverable_fraction,dynamic_rain_kernel_sum,0.24522165
12,recoverable_fraction,n_units,0.1517191502
12,recoverable_fraction,early_positive_deficit_last,-0.03040444021
12,recoverable_fraction,early_last_precip,-0.03496810118
12,recoverable_fraction,early_mean_deficit_mean,-0.04120879121
12,recoverable_fraction,early_precip_max,-0.1152345565
12,recoverable_fraction,event_peak_precip_observed_so_far,-0.1152345565
12,recoverable_fraction,early_precip_sum,-0.1493680228
12,recoverable_fraction,early_precip_mean,-0.1532814754
12,recoverable_fraction,early_p90_deficit_max,-0.1903934977
12,recoverable_fraction,q_density,-0.2135417692
12,recoverable_fraction,early_rainy_hour_share,-0.2611700738
12,recoverable_fraction,early_abnormal_deficit_mean,-0.3630313083
12,recoverable_fraction,early_positive_deficit_start,-0.5069725848
12,recoverable_fraction,early_positive_deficit_sum,-0.5191130924
12,recoverable_fraction,early_positive_deficit_mean,-0.5231562715
12,recoverable_fraction,mean_a_retention,-0.5349098926
12,recoverable_fraction,city_signal_b0,-0.5415016336
12,recoverable_fraction,weighted_b0,-0.5415016336
12,recoverable_fraction,early_positive_deficit_max,-0.5688003969
12,recoverable_fraction,delay_C,
12,recoverable_fraction,delay_R,
12,recoverable_fraction,delay_S,
1,top_5pct_value_share,n_units,0.8438005256
1,top_5pct_value_share,early_mean_deficit_mean,0.2927826815
1,top_5pct_value_share,early_p90_deficit_max,0.2826888955
1,top_5pct_value_share,mean_a_retention,0.2371336122
1,top_5pct_value_share,early_last_precip,-0.04505274723
1,top_5pct_value_share,early_precip_max,-0.04505274723
1,top_5pct_value_share,early_precip_mean,-0.04505274723
1,top_5pct_value_share,early_precip_sum,-0.04505274723
1,top_5pct_value_share,event_peak_precip_observed_so_far,-0.04505274723
1,top_5pct_value_share,dynamic_rain_kernel_sum,-0.05719436632
1,top_5pct_value_share,city_signal_b0,-0.2754322064
1,top_5pct_value_share,weighted_b0,-0.2754322064
1,top_5pct_value_share,early_positive_deficit_last,-0.3086020239
1,top_5pct_value_share,early_positive_deficit_max,-0.3086020239
1,top_5pct_value_share,early_positive_deficit_mean,-0.3086020239
1,top_5pct_value_share,early_positive_deficit_start,-0.3086020239
1,top_5pct_value_share,early_positive_deficit_sum,-0.3086020239
1,top_5pct_value_share,early_abnormal_deficit_mean,-0.3249716914
1,top_5pct_value_share,q_density,-0.7953668076
1,top_5pct_value_share,delay_C,
1,top_5pct_value_share,delay_R,
1,top_5pct_value_share,delay_S,
1,top_5pct_value_share,early_positive_deficit_slope,
1,top_5pct_value_share,early_rainy_hour_share,
2,top_5pct_value_share,n_units,0.8438005256
2,top_5pct_value_share,early_p90_deficit_max,0.3326651897
2,top_5pct_value_share,early_mean_deficit_mean,0.3176293269
2,top_5pct_value_share,mean_a_retention,0.2371336122
2,top_5pct_value_share,early_positive_deficit_slope,0.1336043277
2,top_5pct_value_share,early_last_precip,0.06069959842
2,top_5pct_value_share,early_precip_max,0.03960590813
2,top_5pct_value_share,event_peak_precip_observed_so_far,0.03960590813
2,top_5pct_value_share,early_precip_mean,0.0289584658
2,top_5pct_value_share,early_precip_sum,0.0289584658
2,top_5pct_value_share,early_rainy_hour_share,0
2,top_5pct_value_share,dynamic_rain_kernel_sum,-0.05719436632
2,top_5pct_value_share,city_signal_b0,-0.2754322064
2,top_5pct_value_share,weighted_b0,-0.2754322064
2,top_5pct_value_share,early_positive_deficit_last,-0.2774641055
2,top_5pct_value_share,early_positive_deficit_mean,-0.3009026485
2,top_5pct_value_share,early_positive_deficit_sum,-0.3009026485
2,top_5pct_value_share,early_positive_deficit_max,-0.3026312192
2,top_5pct_value_share,early_positive_deficit_start,-0.3086020239
2,top_5pct_value_share,early_abnormal_deficit_mean,-0.3209519958
2,top_5pct_value_share,q_density,-0.7953668076
2,top_5pct_value_share,delay_C,
2,top_5pct_value_share,delay_R,
2,top_5pct_value_share,delay_S,
3,top_5pct_value_share,n_units,0.8438005256
3,top_5pct_value_share,early_p90_deficit_max,0.3654883368
3,top_5pct_value_share,early_mean_deficit_mean,0.3246939289
3,top_5pct_value_share,mean_a_retention,0.2371336122
3,top_5pct_value_share,early_positive_deficit_slope,0.1712125615
3,top_5pct_value_share,early_precip_max,0.05530938062
3,top_5pct_value_share,event_peak_precip_observed_so_far,0.05530938062
3,top_5pct_value_share,early_precip_mean,0.04379402114
3,top_5pct_value_share,early_precip_sum,0.04379402114
3,top_5pct_value_share,dynamic_rain_kernel_sum,-0.05719436632
3,top_5pct_value_share,early_rainy_hour_share,-0.06769237635
3,top_5pct_value_share,early_last_precip,-0.07220256725
3,top_5pct_value_share,early_positive_deficit_last,-0.2515048092
3,top_5pct_value_share,city_signal_b0,-0.2754322064
3,top_5pct_value_share,weighted_b0,-0.2754322064
3,top_5pct_value_share,early_positive_deficit_max,-0.3010348909
3,top_5pct_value_share,early_positive_deficit_mean,-0.3022848482
3,top_5pct_value_share,early_positive_deficit_sum,-0.3022848482
3,top_5pct_value_share,early_positive_deficit_start,-0.3086020239
3,top_5pct_value_share,early_abnormal_deficit_mean,-0.3349396981
3,top_5pct_value_share,q_density,-0.7953668076
3,top_5pct_value_share,delay_C,
3,top_5pct_value_share,delay_R,
3,top_5pct_value_share,delay_S,
6,top_5pct_value_share,n_units,0.8438005256
6,top_5pct_value_share,early_p90_deficit_max,0.489648028
6,top_5pct_value_share,early_mean_deficit_mean,0.3975358451
6,top_5pct_value_share,mean_a_retention,0.2371336122
6,top_5pct_value_share,early_positive_deficit_slope,0.2263920418
6,top_5pct_value_share,early_last_precip,0.08656174107
6,top_5pct_value_share,early_precip_mean,0.07476563846
6,top_5pct_value_share,early_precip_sum,0.07476563846
6,top_5pct_value_share,early_precip_max,0.07342436778
6,top_5pct_value_share,event_peak_precip_observed_so_far,0.07342436778
6,top_5pct_value_share,early_rainy_hour_share,0.04500799619
6,top_5pct_value_share,early_positive_deficit_last,-0.01247163225
6,top_5pct_value_share,dynamic_rain_kernel_sum,-0.05719436632
6,top_5pct_value_share,early_positive_deficit_max,-0.2206463965
6,top_5pct_value_share,early_positive_deficit_mean,-0.2226630271
6,top_5pct_value_share,early_positive_deficit_sum,-0.2226630271
6,top_5pct_value_share,city_signal_b0,-0.2754322064
6,top_5pct_value_share,weighted_b0,-0.2754322064
6,top_5pct_value_share,early_abnormal_deficit_mean,-0.2886634106
6,top_5pct_value_share,early_positive_deficit_start,-0.3086020239
6,top_5pct_value_share,q_density,-0.7953668076
6,top_5pct_value_share,delay_C,
6,top_5pct_value_share,delay_R,
6,top_5pct_value_share,delay_S,
12,top_5pct_value_share,n_units,0.8438005256
12,top_5pct_value_share,early_p90_deficit_max,0.6145232627
12,top_5pct_value_share,early_mean_deficit_mean,0.5798476472
12,top_5pct_value_share,early_positive_deficit_slope,0.2855878334
12,top_5pct_value_share,mean_a_retention,0.2371336122
12,top_5pct_value_share,early_precip_sum,0.1294549203
12,top_5pct_value_share,early_precip_mean,0.1272169975
12,top_5pct_value_share,early_precip_max,0.1246759428
12,top_5pct_value_share,event_peak_precip_observed_so_far,0.1246759428
12,top_5pct_value_share,early_rainy_hour_share,0.1211172075
12,top_5pct_value_share,early_last_precip,0.06553322381
12,top_5pct_value_share,dynamic_rain_kernel_sum,-0.05719436632
12,top_5pct_value_share,early_positive_deficit_last,-0.1427772366
12,top_5pct_value_share,early_positive_deficit_sum,-0.1932204164
12,top_5pct_value_share,early_positive_deficit_mean,-0.2000440299
12,top_5pct_value_share,early_positive_deficit_max,-0.2112708748
12,top_5pct_value_share,city_signal_b0,-0.2754322064
12,top_5pct_value_share,weighted_b0,-0.2754322064
12,top_5pct_value_share,early_positive_deficit_start,-0.3086020239
12,top_5pct_value_share,early_abnormal_deficit_mean,-0.3097576413
12,top_5pct_value_share,q_density,-0.7953668076
12,top_5pct_value_share,delay_C,
12,top_5pct_value_share,delay_R,
12,top_5pct_value_share,delay_S,
