city,event_id,event_start,window_hours,recoverable_fraction,decision_criticality_score,top_5pct_value_share,marginal_value_gini,baseline_objective,event_peak_positive_abnormal_deficit,event_total_precip,n_units,q_density,mean_a_retention,dynamic_rain_kernel_sum,delay_R,delay_C,delay_S,weighted_b0,city_signal_b0,early_observed_hours,early_precip_sum,early_precip_max,early_precip_mean,early_rainy_hour_share,early_last_precip,event_peak_precip_observed_so_far,early_positive_deficit_start,early_positive_deficit_last,early_positive_deficit_max,early_positive_deficit_mean,early_positive_deficit_sum,early_positive_deficit_slope,early_abnormal_deficit_mean,early_p90_deficit_max,early_mean_deficit_mean,early_observation_count_sum,log_early_precip_sum,log_early_precip_max,log_early_positive_deficit_sum,log_early_positive_deficit_max,log_early_p90_deficit_max,log_baseline_objective,log_n_units
Chicago,154,2019-07-20 05:00:00,6,0.2164610453,0.01709188982,0.1722164847,0.4584960653,0.02404835271,0.005706766028,0.01181103,882,0.4333816671,0.8000622696,0.007129881557,2,0,1,0.003390490092,0.003390490092,6,0.01181103,0.01181103,0.001968505,0.1666666667,0,0.01181103,0.003390490092,0,0.003390490092,0.0006134534686,0.003680720812,-0.0006780980183,-0.0007593933228,0.4972111156,0.1883051572,454626,0.01174182418,0.01174182418,0.003673963535,0.003384755339,0.4036041213,0.02376374495,6.783325201
Chicago,154,2019-07-20 05:00:00,12,0.2164610453,0.01709188982,0.1722164847,0.4584960653,0.02404835271,0.005706766028,0.01181103,882,0.4333816671,0.8000622696,0.007129881557,2,0,1,0.003390490092,0.003390490092,12,0.01181103,0.01181103,0.0009842525,0.08333333333,0,0.01181103,0.003390490092,0,0.003390490092,0.0003067267343,0.003680720812,-0.000308226372,-0.005226772699,0.5367140585,0.234285509,909270,0.01174182418,0.01174182418,0.003673963535,0.003384755339,0.4296464085,0.02376374495,6.783325201
New York,99,2019-06-02 22:00:00,1,0.1476755773,0.01433302948,0.1972551994,0.4920405068,0.07896785276,0.01581179532,0.37401595,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,1,0.08661422,0.08661422,0.08661422,1,0.08661422,0.08661422,0,0,0,0,0,0,-0.01030551612,0.2161194374,0.06600514172,115200,0.08306664174,0.08306664174,0,0,0.1956650002,0.07600489228,7.570958583
New York,99,2019-06-02 22:00:00,2,0.1476755773,0.01433302948,0.1972551994,0.4920405068,0.07896785276,0.01581179532,0.37401595,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,2,0.37401595,0.28740173,0.187007975,1,0.28740173,0.28740173,0,0,0,0,0,0,-0.008877875973,0.2161194374,0.05782075977,230395,0.3177378022,0.2526260244,0,0,0.1956650002,0.07600489228,7.570958583
New York,99,2019-06-02 22:00:00,3,0.1476755773,0.01433302948,0.1972551994,0.4920405068,0.07896785276,0.01581179532,0.37401595,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,3,0.37401595,0.28740173,0.1246719833,0.6666666667,0,0.28740173,0,0,0,0,0,0,-0.007061642028,0.2161194374,0.05125799429,345589,0.3177378022,0.2526260244,0,0,0.1956650002,0.07600489228,7.570958583
New York,99,2019-06-02 22:00:00,6,0.1476755773,0.01433302948,0.1972551994,0.4920405068,0.07896785276,0.01581179532,0.37401595,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,6,0.37401595,0.28740173,0.06233599167,0.3333333333,0,0.28740173,0,0.0008479062235,0.002052595295,0.0004834169197,0.002900501518,0.0001695812447,-0.003165273055,0.2161194374,0.03979451205,691171,0.3177378022,0.2526260244,0.00289630318,0.002050491599,0.1956650002,0.07600489228,7.570958583
New York,99,2019-06-02 22:00:00,12,0.1476755773,0.01433302948,0.1972551994,0.4920405068,0.07896785276,0.01581179532,0.37401595,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,12,0.37401595,0.28740173,0.03116799583,0.1666666667,0,0.28740173,0,0,0.01581179532,0.003168181022,0.03801817226,0,0.000838625759,0.3730035991,0.05578079785,1382364,0.3177378022,0.2526260244,0.03731329159,0.01568809117,0.3170007481,0.07600489228,7.570958583
New York,108,2019-06-16 19:00:00,1,0.1540652389,0.01379337817,0.1889654176,0.4737875565,0.2806178036,0.02595726488,0.03018374333,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0.01771547057,0.01771547057,1,0.01706037667,0.01706037667,0.01706037667,1,0.01706037667,0.01706037667,0.01353214727,0.01353214727,0.01353214727,0.01353214727,0.01353214727,0,0.01353214727,0.3382048357,0.09741248971,115116,0.01691648272,0.01691648272,0.01344140547,0.01344140547,0.291329041,0.2473426206,7.570958583
New York,108,2019-06-16 19:00:00,2,0.1540652389,0.01379337817,0.1889654176,0.4737875565,0.2806178036,0.02595726488,0.03018374333,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0.01771547057,0.01771547057,2,0.03018374333,0.01706037667,0.01509187167,1,0.01312336667,0.01706037667,0.01353214727,0.01256539096,0.01353214727,0.01304876912,0.02609753823,-0.0009667563157,0.01304876912,0.3382048357,0.0956652018,230250,0.02973717792,0.01691648272,0.02576280873,0.01344140547,0.291329041,0.2473426206,7.570958583
New York,108,2019-06-16 19:00:00,3,0.1540652389,0.01379337817,0.1889654176,0.4737875565,0.2806178036,0.02595726488,0.03018374333,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0.01771547057,0.01771547057,3,0.03018374333,0.01706037667,0.01006124778,0.6666666667,0,0.01706037667,0.01353214727,0,0.01353214727,0.008699179411,0.02609753823,-0.006766073637,0.008081400756,0.3382048357,0.09270489453,345408,0.02973717792,0.01691648272,0.02576280873,0.01344140547,0.291329041,0.2473426206,7.570958583
