city,unit,t,p,b,rC,d,rS,ell,weighted_loss,scenario
Austin,97,4,0.035517830881075005,0.06403663232784058,0.0,0.06403663232784058,0.0034554268708103866,0.06645721186489521,0.0023604160118451192,delayed_response
Austin,59,4,0.03528372307758902,0.06321882672096185,0.0,0.06321882672096185,0.0,0.07197019297996918,0.0025393763589458738,delayed_response
Austin,7,4,0.02684519664208184,0.06769955531637314,0.0,0.06769955531637314,0.0,0.07610437481265481,0.0020430369071684188,delayed_response
Austin,98,4,0.03459572547355847,0.06288928301757468,0.0,0.06288928301757468,0.0,0.0725272585528569,0.0025091331262444326,delayed_response
Austin,163,4,0.03134480783886641,0.06483062708273324,0.0,0.06483062708273324,0.0,0.07086908724800854,0.0022213779215046856,delayed_response
Austin,39,4,0.019836339935300068,0.0714467920523554,0.0,0.0714467920523554,0.0,0.07591556378547366,0.0015058869296286108,delayed_response
Austin,40,4,0.023784810265494078,0.06887232662850595,0.0,0.06887232662850595,0.0,0.07412615324611026,0.0017630764906696704,delayed_response
Austin,2,4,0.017800372231019816,0.07267838503937042,0.0,0.07267838503937042,0.0,0.07363340767108043,0.0013107020651836616,delayed_response
Austin,35,4,0.020264322207019018,0.07070937140522829,0.0,0.07070937140522829,0.0,0.0730360979198525,0.0014800270209912824,delayed_response
Austin,42,4,0.03175226407926154,0.06322283740606108,0.0,0.06322283740606108,0.0,0.07093816871861168,0.0022524474664525683,delayed_response
Austin,67,4,0.017347183686504664,0.07211798828551888,0.0,0.07211798828551888,0.0,0.0732709956978209,0.0012710454212631922,delayed_response
Austin,120,4,0.02521097357508036,0.06683522832469917,0.0,0.06683522832469917,0.0,0.07238817414868208,0.001824976345610739,delayed_response
Austin,63,5,0.02282223947157894,0.08389323449630445,0.011920210427412963,0.07197302406889149,0.0,0.06866974437666415,0.0015671973506163404,delayed_response
Austin,16,5,0.05100623270149336,0.06728219954741357,0.009909517303094632,0.05737268224431894,0.004609100981244357,0.06111039552221284,0.003117011054486286,delayed_response
Austin,80,5,0.039080396500033844,0.0680941967382382,0.0,0.0680941967382382,0.004399006903548547,0.06307957455547082,0.002465174784681246,delayed_response
Austin,165,5,0.02942483594833732,0.0738640165348398,0.0,0.0738640165348398,0.0,0.0688732917385974,0.0020265853106302043,delayed_response
Austin,177,5,0.04394081163246698,0.06419374921625862,0.0,0.06419374921625862,0.00423318475457019,0.0620500696701528,0.0027265304231576365,delayed_response
Austin,14,5,0.03330044768852163,0.06962725049601298,0.0,0.06962725049601298,0.0,0.067652341543686,0.0022528532605815147,delayed_response
Austin,105,5,0.025689031582639753,0.0734986971218562,0.002025171450442709,0.07147352567141349,0.0,0.06836592282816326,0.001756254350708998,delayed_response
Austin,184,5,0.0333430918620842,0.06653597777265491,0.0,0.06653597777265491,0.0,0.06594546264746202,0.0021988256189419686,delayed_response
Austin,144,5,0.0227947421056781,0.07276313683099335,0.0,0.07276313683099335,0.0,0.06847311738129565,0.0015608270518784589,delayed_response
Austin,3,5,0.017022245871283932,0.07577092533561082,0.0,0.07577092533561082,0.0,0.07008179886039195,0.001192949611303458,delayed_response
Austin,167,5,0.023834286304811797,0.07097428882244838,0.0,0.07097428882244838,0.0,0.0678276306667466,0.0016166231686882712,delayed_response
Austin,125,5,0.03403835624063424,0.06381885071360402,0.0,0.06381885071360402,0.0,0.0662965481286771,0.0022566255227282643,delayed_response
Austin,128,5,0.019091927492800653,0.07327904923286845,0.0,0.07327904923286845,0.0,0.06857673416366283,0.0013092620363457162,delayed_response
Austin,114,5,0.02636147181034369,0.06842168039981333,0.0,0.06842168039981333,0.0,0.06764304778828854,0.0017831702974366993,delayed_response
Austin,12,5,0.03073707208611477,0.06386901783893169,0.0,0.06386901783893169,0.0,0.06600682716332117,0.0020288566046947213,delayed_response
Austin,183,5,0.01266946119720935,0.0753016523701029,0.0,0.0753016523701029,0.0,0.07020803728244533,0.0008894980040821685,delayed_response
Austin,205,5,0.0446933347994433,0.0548410764350901,0.0,0.0548410764350901,0.0038127691474044967,0.05880801481020326,0.0026283262948030343,delayed_response
Austin,89,5,0.02043906094631183,0.06840454733386096,0.0,0.06840454733386096,0.0,0.06839975129971715,0.0013980266855274906,delayed_response
Austin,118,5,0.03554850136382571,0.058820850180498783,0.0,0.058820850180498783,0.0,0.0643003855482116,0.002285782343355119,delayed_response
Austin,91,5,0.023357353056226104,0.06599886375407459,0.0,0.06599886375407459,0.0,0.0671654376652124,0.0015688068407223126,delayed_response
Austin,201,5,0.02768637701317971,0.06317651166473702,0.0,0.06317651166473702,0.0,0.06455966122141782,0.0017874231204193318,delayed_response
Austin,73,5,0.020764376566966773,0.067326661480379,0.0,0.067326661480379,0.0,0.06739606769480981,0.0013994373287478151,delayed_response
Austin,159,5,0.042770795865163774,0.05388187390623112,0.0,0.05388187390623112,0.0037676542392067252,0.06104650085786513,0.0026110074264742945,delayed_response
Austin,97,5,0.035517830881075005,0.05754808232251915,0.0,0.05754808232251915,0.0015549420918646738,0.061449174115651234,0.0021825413740214324,delayed_response
Austin,59,5,0.03528372307758902,0.05676181611730796,0.0,0.05676181611730796,0.0,0.06478082198731035,0.0022857085837388485,delayed_response
Austin,7,5,0.02684519664208184,0.061082297330010145,0.0,0.061082297330010145,0.0,0.0663439129956206,0.001781015390372604,delayed_response
Austin,98,5,0.03459572547355847,0.05644527484031479,0.0,0.05644527484031479,0.0,0.06461155515077525,0.0022352836244159033,delayed_response
Austin,163,5,0.03134480783886641,0.05831244305228556,0.0,0.05831244305228556,0.0,0.06380049553038214,0.0019998142724242836,delayed_response
Austin,39,5,0.019836339935300068,0.06471862066907325,0.0,0.06471862066907325,0.0,0.0674460210381032,0.001337882200595215,delayed_response
Austin,40,5,0.023784810265494078,0.0622181293287129,0.0,0.0622181293287129,0.0,0.066303937312878,0.0015770265688420163,delayed_response
Austin,2,5,0.017800372231019816,0.06591823613909782,0.0,0.06591823613909782,0.0,0.0665069537038527,0.0011838485318797802,delayed_response
Austin,35,5,0.020264322207019018,0.0640013979595145,0.0,0.0640013979595145,0.0,0.06567290267779806,0.001330816860133102,delayed_response
Austin,42,5,0.03175226407926154,0.05676566959755529,0.0,0.05676566959755529,0.0,0.06388174181610666,0.0020283899359882234,delayed_response
Austin,67,5,0.017347183686504664,0.06537211841453636,0.0,0.06537211841453636,0.0,0.06614797830983547,0.0011474811302316422,delayed_response
Austin,120,5,0.02521097357508036,0.0602465095976584,0.0,0.0602465095976584,0.0,0.06514520258954679,0.0016423739810283206,delayed_response
