city,unit,t,intervention,u,e,cost,effective_cost,scenario
Chicago,64,3,C,0.0,0.0,0.9373100360664391,0.0,base
Chicago,64,3,S,0.0,0.0,0.7167664981684535,0.0,base
Chicago,625,3,R,0.0,0.0,1.3879412024342286,0.0,base
Chicago,625,3,C,0.0,0.0,0.9438000176552754,0.0,base
Chicago,625,3,S,0.0,0.0,0.7217294252657989,0.0,base
Chicago,50,3,R,0.0,0.0,1.3133886214887147,0.0,base
Chicago,50,3,C,0.0,0.0,0.893104262612326,0.0,base
Chicago,50,3,S,0.0,0.0,0.6829620831741317,0.0,base
Chicago,516,3,R,0.0,0.0,1.34607185898775,0.0,base
Chicago,516,3,C,0.0,0.0,0.9153288641116701,0.0,base
Chicago,516,3,S,0.0,0.0,0.6999573666736301,0.0,base
Chicago,793,3,R,0.0,0.0,1.4107773985945755,0.0,base
Chicago,793,3,C,0.0,0.0,0.9593286310443112,0.0,base
Chicago,793,3,S,0.0,0.0,0.7336042472691793,0.0,base
Chicago,282,3,R,0.0,0.0,1.4059823727891585,0.0,base
Chicago,282,3,C,0.0,0.0,0.9560680134966277,0.0,base
Chicago,282,3,S,0.0,0.0,0.7311108338503625,0.0,base
Chicago,881,3,R,0.0,0.0,1.3205755073823278,0.0,base
Chicago,881,3,C,0.0,0.0,0.8979913450199829,0.0,base
Chicago,881,3,S,0.0,0.0,0.6866992638388104,0.0,base
Chicago,845,3,R,0.0,0.0,1.3659902190252633,0.0,base
Chicago,845,3,C,0.0,0.0,0.928873348937179,0.0,base
Chicago,845,3,S,0.0,0.0,0.7103149138931368,0.0,base
Chicago,275,3,R,0.0,0.0,1.35388411657009,0.0,base
Chicago,275,3,C,0.0,0.0,0.9206411992676611,0.0,base
Chicago,275,3,S,0.0,0.0,0.7040197406164468,0.0,base
Chicago,770,3,R,0.0,0.0,1.3725119263831365,0.0,base
Chicago,770,3,C,0.0,0.0,0.9333081099405328,0.0,base
Chicago,770,3,S,0.0,0.0,0.7137062017192309,0.0,base
Chicago,538,3,R,0.0,0.0,1.3449254319918884,0.0,base
Chicago,538,3,C,0.0,0.0,0.9145492937544841,0.0,base
Chicago,538,3,S,0.0,0.0,0.6993612246357821,0.0,base
Chicago,47,3,R,0.0,0.0,1.3584725349317848,0.0,base
Chicago,47,3,C,0.0,0.0,0.9237613237536135,0.0,base
