city,budget_intensity,delay_name,delay_R,delay_C,delay_S,baseline_objective,optimized_objective,recoverable_fraction,total_budget,weighted_b0
Houston,0.3,fast,0,0,0,0.6796610664763543,0.6197261044536271,0.08818360353264754,1.2104751256839847,0.09261884158709238
Houston,0.3,base,2,0,1,0.6796610664763543,0.6230786413757976,0.08325094358266472,1.2104751256839847,0.09261884158709238
Houston,0.3,slow,4,2,2,0.6796610664763543,0.6262027590739734,0.07865436176818397,1.2104751256839847,0.09261884158709238
Houston,0.5,fast,0,0,0,0.6796610664763543,0.584375996901823,0.14019497993099528,2.017458542806641,0.09261884158709238
Houston,0.5,base,2,0,1,0.6796610664763543,0.5904308685694548,0.13128631653054057,2.017458542806641,0.09261884158709238
Houston,0.5,slow,4,2,2,0.6796610664763543,0.5969740838143514,0.12165914268222933,2.017458542806641,0.09261884158709238
Houston,0.75,fast,0,0,0,0.6796610664763543,0.5445094479270495,0.19885149409835556,3.0261878142099614,0.09261884158709238
Houston,0.75,base,2,0,1,0.6796610664763543,0.5534983311861793,0.1856259561022895,3.0261878142099614,0.09261884158709238
Houston,0.75,slow,4,2,2,0.6796610664763543,0.5640594001693373,0.17008722730925885,3.0261878142099614,0.09261884158709238
Houston,1.0,fast,0,0,0,0.6796610664763543,0.5077550085779119,0.2529290941875999,4.034917085613282,0.09261884158709238
Houston,1.0,base,2,0,1,0.6796610664763543,0.5196628789428375,0.23540878744609273,4.034917085613282,0.09261884158709238
Houston,1.0,slow,4,2,2,0.6796610664763543,0.5333182551447219,0.21531733764056016,4.034917085613282,0.09261884158709238
