city,n_units,horizon,q_nnz,q_density,mean_b0,weighted_b0,max_b0,mean_a_retention,total_disturbance,total_budget,mean_period_budget,delay_R,delay_C,delay_S,q_row_sum_min,q_row_sum_max,pwl_enabled,scenario_type,event_id,event_start,event_end,event_total_precip,event_peak_precip,event_peak_positive_abnormal_deficit,city_signal_b0,city_signal_h_total,city_signal_h_peak,dynamic_a_retention,dynamic_rain_kernel_sum,h_observed_innovation_steps,h_rain_kernel_fallback_steps,h_signal_source,scenario
Dallas,366,12,87499,0.6531920929260354,0.0135398984944166,0.0138922445306568,0.0180191392042816,0.966450576001841,15.909931463787462,4.694745220367386,1.314528661702868,2,0,1,0.9999999999999988,1.0000000000000009,True,observed_rainfall_event,56,2019-04-18 02:00:00,2019-04-18 05:00:00,0.1712599349999999,0.14566937,0.0456232153879828,0.0138922445306569,0.0446009628086862,0.0092763606055568,0.9558410649350446,0.0053847864087424,12,0,observed_innovation,base
Dallas,366,12,87499,0.6531920929260354,0.0395482594924336,0.040577415839367,0.0526315314235981,0.966450576001841,5.913504714778549,4.587337730027088,1.2844545644075844,2,0,1,0.9999999999999988,1.0000000000000009,True,observed_rainfall_event,57,2019-04-18 12:00:00,2019-04-18 13:00:00,0.09448824,0.064960665,0.040577415839367,0.040577415839367,0.0165775700827589,0.0101189067909635,0.9558410649350446,0.0053847864087424,12,0,observed_innovation,base
Dallas,366,12,87499,0.6531920929260354,0.0289481803718505,0.0297014930066975,0.0385247564482207,0.966450576001841,12.87866953363151,5.2815832986889815,1.4788433236329153,2,0,1,0.9999999999999988,1.0000000000000009,True,observed_rainfall_event,58,2019-04-18 22:00:00,2019-04-18 22:00:00,0.009842525,0.009842525,0.0365575631876469,0.0297014930066976,0.0361033020288146,0.0116555271552445,0.9558410649350446,0.0053847864087424,12,0,observed_innovation,base
Dallas,366,12,87499,0.6531920929260354,0.0510780159715015,0.0524072088361303,0.0679755376636349,0.966450576001841,5.121310939318275,5.358569576599766,1.500399481447935,2,0,1,0.9999999999999988,1.0000000000000009,True,observed_rainfall_event,59,2019-04-23 19:00:00,2019-04-24 09:00:00,2.2106311149999995,0.470472695,0.0621555549331903,0.0524072088361304,0.0143567808105363,0.0090686119788844,0.9558410649350446,0.0053847864087424,12,0,observed_innovation,base
Dallas,366,12,87499,0.6531920929260354,0.0277509043001675,0.0284730604622893,0.0369314000275275,0.966450576001841,16.616938472935168,6.024098125529207,1.686747475148178,2,0,1,0.9999999999999988,1.0000000000000009,True,observed_rainfall_event,60,2019-04-24 11:00:00,2019-04-24 13:00:00,0.041338605,0.025590565,0.0621555549331903,0.0284730604622894,0.0465829445282335,0.0162204608311072,0.9558410649350446,0.0053847864087424,12,0,observed_innovation,base
Dallas,366,12,87499,0.6531920929260354,0.0288946956322082,0.029646616444508,0.0384535779996291,0.966450576001841,13.346446197583877,5.382428579768719,1.5070800023352415,2,0,1,0.9999999999999988,1.0000000000000009,True,observed_rainfall_event,61,2019-04-24 15:00:00,2019-04-24 21:00:00,0.3523623950000001,0.14960638,0.0621555549331903,0.029646616444508,0.0374146395188093,0.0162204608311072,0.9558410649350446,0.0053847864087424,12,0,observed_innovation,base
Dallas,366,12,87499,0.6531920929260354,0.0033944309854021,0.00348276357545,0.0045173694965668,0.966450576001841,7.526528189207102,1.9730002342194677,0.5524400655814511,2,0,1,0.9999999999999988,1.0000000000000009,True,observed_rainfall_event,62,2019-04-28 01:00:00,2019-04-28 01:00:00,0.053149635,0.053149635,0.0178690733315265,0.0034827635754501,0.0210994248849794,0.0045157416544614,0.9558410649350446,0.0053847864087424,12,0,observed_innovation,base
Dallas,366,12,87499,0.6531920929260354,0.0149751595727795,0.0153648551173739,0.0199292103304555,0.966450576001841,8.887158615756857,3.232815079363692,0.905188222221834,2,0,1,0.9999999999999988,1.0000000000000009,True,observed_rainfall_event,63,2019-04-28 09:00:00,2019-04-28 09:00:00,0.005905515,0.005905515,0.0214141071204946,0.015364855117374,0.0249137359138508,0.0139934044862933,0.9558410649350446,0.0053847864087424,12,0,observed_innovation,base
Dallas,366,12,87499,0.6531920929260354,0.0535448843307067,0.0549382720110242,0.0712584902191127,0.966450576001841,0.0087993712991053,4.411401083175996,1.235192303289279,2,0,1,0.9999999999999988,1.0000000000000009,True,observed_rainfall_event,64,2019-04-30 18:00:00,2019-04-30 18:00:00,0.005905515,0.005905515,0.0549382720110242,0.0549382720110242,2.4667638131848303e-05,1.824271602792787e-05,0.9558410649350446,0.0053847864087424,5,7,observed_innovation,base
Houston,393,12,99541,0.6444910617744368,0.0015883167667646,0.0016280995589472,0.0022223809992951,0.871838767369005,6.064567812906175,1.5049746680050524,0.4213929070414147,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,52,2019-04-04 01:00:00,2019-04-04 04:00:00,0.5826774800000001,0.25984266,0.0139318362359163,0.0016280995589472,0.0158179844555806,0.007461919652332,0.8647749594136531,0.0129102402343482,12,0,observed_innovation,base
Houston,393,12,99541,0.6444910617744368,0.0219981354937212,0.0225491258698621,0.0307799044649951,0.871838767369005,19.10346649325303,6.243465092014231,1.748170225763985,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,60,2019-04-18 05:00:00,2019-04-18 11:00:00,0.8622051900000001,0.35826791,0.0527549075025259,0.0225491258698621,0.0498268541733358,0.0161885386108823,0.8647749594136531,0.0129102402343482,12,0,observed_innovation,base
Houston,393,12,99541,0.6444910617744368,0.0292770529231708,0.0300103593621206,0.0409646032159867,0.871838767369005,17.16243234587681,6.450370682553666,1.806103791115027,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,61,2019-04-24 21:00:00,2019-04-24 21:00:00,0.01181103,0.01181103,0.0305704776770383,0.0300103593621206,0.0447641277073858,0.0087755799130614,0.8647749594136531,0.0129102402343482,12,0,observed_innovation,base
Houston,393,12,99541,0.6444910617744368,0.0150425434604188,0.0154193161501651,0.0210476042732977,0.871838767369005,25.2372446211668,7.008516945250067,1.9623847446700189,2,0,1,0.9999999999999988,1.000000000000001,True,observed_rainfall_event,62,2019-04-30 03:00:00,2019-04-30 03:00:00,0.01181103,0.01181103,0.0373824011470862,0.0154193161501651,0.065825357294175,0.0109178442385196,0.8647749594136531,0.0129102402343482,12,0,observed_innovation,base
New York,1940,12,707646,0.1880237007120841,0.0,0.0,0.0,0.9068545482878572,15.982715520204184,3.596110992045941,1.0069110777728638,2,0,1,0.9999999999999982,1.0000000000000018,True,observed_rainfall_event,98,2019-06-02 18:00:00,2019-06-02 19:00:00,0.1259843199999999,0.0734908533333333,0.0128404264537012,0.0,0.0084206791959469,0.0063680839011926,0.9021352768402808,0.0005168224335782,12,0,observed_innovation,base
