screen_mode,screen_mode_label,strategy,strategy_label,requested_screen_fraction,active_unit_count_mean,active_unit_count_min,active_unit_fraction_mean,active_unit_fraction_min,active_action_token_fraction_mean,active_action_token_fraction_min,restricted_total_variable_fraction_mean,restricted_total_variable_fraction_min,restricted_variable_reduction_mean,restricted_variable_reduction_min,restricted_constraint_fraction_mean,restricted_constraint_fraction_min,small_signal_value_capture_mean,small_signal_value_capture_min,finite_value_capture_mean,finite_value_capture_min,footprint_mass_capture_mean,footprint_mass_capture_min,origin_exposure_capture_mean,origin_exposure_capture_min,destination_importance_capture_mean,destination_importance_capture_min,local_need_capture_mean,local_need_capture_min,positive_footprint_unit_share_mean,positive_footprint_unit_share_min,positive_value_unit_share_mean,positive_value_unit_share_min,top5_small_units_share_mean,top5_small_units_share_min,top5_finite_units_share_mean,top5_finite_units_share_min,top5_footprint_units_share_mean,top5_footprint_units_share_min
unit_block,active units with all actions,finite_value_only,finite value only,0.3,582.0,582,0.3,0.3,0.3,0.3,0.48571428571428565,0.4857142857142857,0.5142857142857142,0.5142857142857142,0.4602240037170605,0.46022400371706057,0.5210617727749633,0.5200004353778438,0.6015605000589992,0.597537413433533,0.7671361024432067,0.7537734501010532,0.46786641706861953,0.4663293669173497,0.5575724028004496,0.556270184979798,0.31312959589857514,0.30512029064321483,0.37050334866045226,0.36968449931412894,0.3,0.3,1.0,1.0,1.0,1.0,0.845360824742268,0.8350515463917526
unit_block,active units with all actions,finite_value_only,finite value only,0.4,776.0,776,0.4,0.4,0.4,0.4,0.5591836734693878,0.5591836734693878,0.4408163265306122,0.4408163265306122,0.5373348603289091,0.5373348603289091,0.6268481194240638,0.6261613290962271,0.6942944964400635,0.6910625717771056,0.823493446865531,0.8154654663637547,0.5795546935176643,0.5788431963937118,0.6593099809027521,0.6586470619355718,0.4117202612911143,0.40453596747137543,0.4774781541722393,0.4756348661633493,0.4,0.4,1.0,1.0,1.0,1.0,0.9134020618556701,0.9072164948453608
unit_block,active units with all actions,finite_value_only,finite value only,0.5,970.0,970,0.5,0.5,0.5,0.5,0.6326530612244898,0.6326530612244898,0.36734693877551017,0.36734693877551017,0.6144457169407576,0.6144457169407576,0.7176796895334896,0.7164742412703187,0.7719093492605842,0.7693496822661103,0.8638644286939423,0.8552978892870606,0.6787217272627551,0.6776351366628584,0.7444400514647942,0.7430521775134732,0.509745679071903,0.5037799728928128,0.5817083443824056,0.5809327846364883,0.5,0.5,1.0,1.0,1.0,1.0,0.931958762886598,0.9278350515463918
unit_block,active units with all actions,finite_value_only,finite value only,0.6,1164.0,1164,0.6,0.6,0.6,0.6,0.7061224489795919,0.7061224489795919,0.29387755102040813,0.29387755102040813,0.691556573552606,0.691556573552606,0.7985264394734506,0.7978553069941846,0.8378009539900282,0.8360106590617168,0.8969257213480757,0.8913885895156441,0.7678232083011309,0.7663673897337203,0.8196207019329934,0.817691596236354,0.6077899136816635,0.6030239783142503,0.6753633869666414,0.6728395061728395,0.6,0.6,1.0,1.0,1.0,1.0,0.9484536082474226,0.9381443298969072
unit_block,active units with all actions,footprint_only,observed footprint only,0.01,20.0,20,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.2728802861350726,0.2728802861350726,0.7271197138649275,0.7271197138649275,0.23684100672809735,0.23684100672809738,0.009019985217315086,0.008956569859915716,0.04796590285124229,0.04773825270567073,0.45945394725973765,0.45291412557640515,0.010242599901924415,0.010217207493643788,0.00824173028128521,0.008185172179086988,0.02394930592923556,0.016665375425848852,0.013732510786346061,0.013717421124828532,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.1422680412371134,0.13402061855670103,0.20618556701030927,0.20618556701030927
unit_block,active units with all actions,footprint_only,observed footprint only,0.025,49.0,49,0.025257731958762887,0.025257731958762887,0.025257731958762887,0.025257731958762887,0.28386282347990743,0.28386282347990743,0.7161371765200926,0.7161371765200926,0.24836788735564178,0.24836788735564175,0.023945533464193584,0.02227194255873746,0.0931326367659141,0.0878462572676395,0.5513582701906424,0.5453076717670637,0.025942738142381055,0.024015031322237024,0.02266300487724892,0.021220132169551542,0.04397896257449944,0.032626730660112686,0.03364465142654785,0.033607681755829906,0.025257731958762887,0.025257731958762887,0.014432989690721649,0.010309278350515464,0.27628865979381445,0.25773195876288657,0.5051546391752577,0.5051546391752577
unit_block,active units with all actions,footprint_only,observed footprint only,0.05,97.0,97,0.05,0.05,0.05,0.05,0.3020408163265306,0.3020408163265306,0.6979591836734693,0.6979591836734693,0.2674468621874393,0.2674468621874393,0.0493521677394276,0.046951186682121934,0.1423667670893377,0.13536162822778586,0.626216087707876,0.6188689827586465,0.051012192592139696,0.04728683310958372,0.04827230835265099,0.04672318071398744,0.06875853108250818,0.057181948496344615,0.06660267731377839,0.06652949245541838,0.05,0.05,0.03711340206185567,0.020618556701030927,0.38969072164948454,0.36082474226804123,1.0,1.0
unit_block,active units with all actions,footprint_only,observed footprint only,0.1,194.0,194,0.1,0.1,0.1,0.1,0.33877551020408164,0.33877551020408164,0.6612244897959183,0.6612244897959183,0.3060022904933636,0.3060022904933636,0.10121772022742818,0.09923723904218969,0.21800970698081956,0.2145905310255056,0.7174561139139412,0.7068836205040994,0.10149750773551092,0.10048742381115229,0.10107216862814912,0.0984357270936083,0.11777123997290248,0.1068039512070633,0.13320535462755678,0.13305898491083676,0.1,0.1,0.10309278350515463,0.09278350515463918,0.5092783505154639,0.4742268041237113,1.0,1.0
unit_block,active units with all actions,footprint_only,observed footprint only,0.15,291.0,291,0.15,0.15,0.15,0.15,0.37551020408163266,0.37551020408163266,0.6244897959183673,0.6244897959183673,0.3445577187992878,0.3445577187992878,0.1605569408151588,0.15263295690550063,0.2909271200184065,0.2788569529082115,0.7776810987427936,0.766135197714801,0.16086646500476937,0.1536070620965635,0.16064799440841077,0.15214808724575593,0.16678394886329678,0.156425953917782,0.1998080319413352,0.19958847736625515,0.15,0.15,0.20824742268041238,0.17525773195876287,0.6226804123711339,0.5670103092783505,1.0,1.0
unit_block,active units with all actions,footprint_only,observed footprint only,0.2,388.0,388,0.2,0.2,0.2,0.2,0.4122448979591836,0.4122448979591837,0.5877551020408163,0.5877551020408163,0.38311314710521205,0.38311314710521205,0.21714725714950806,0.2106532661208851,0.353283152765063,0.3430108885293674,0.8234330531439008,0.8118365082877261,0.21204690574657148,0.20471334599422453,0.2207896299271345,0.21481549018223678,0.21579665775369108,0.20604795662850067,0.26641070925511356,0.2661179698216735,0.2,0.2,0.2701030927835052,0.24742268041237114,0.6865979381443299,0.6391752577319587,1.0,1.0
