city,event_id,event_start,policy_scenario,budget_scale,delay_add_hours,policy_score,allocated_cost,value_proxy,selected_action_count,baseline_objective,optimized_objective,lp_recoverable_fraction,replay_objective,replay_gain,replay_recoverable_fraction,replay_fraction_of_base_lp_gain,objective_gap_to_base_lp,event_peak_positive_abnormal_deficit,event_total_precip,oracle_replay_gain,oracle_replay_recoverable_fraction,law_replay_gain,law_replay_recoverable_fraction,law_allocated_cost,relative_to_oracle_replay_gain,law_minus_policy_replay_gain,law_minus_policy_recoverable_fraction,law_to_policy_replay_gain_ratio,law_minus_policy_replay_gain_per_cost
Austin,478,2024-07-06 17:00:00,budget_1.25,1.25,0,activated_bottleneck_law,1.823928941,0.1335591093,460,0.1342685328,0.1197952744,0.1077933755,0.1191191622,0.01514937062,0.1128288982,1.046714584,-0.000676112246,0.02623511767,1.27165423,0.01514937062,0.1128288982,0.01514937062,0.1128288982,1.823928941,1,0,0,1,0
Austin,478,2024-07-06 17:00:00,budget_1.25,1.25,0,exposure_only,1.823928941,0.1068130888,253,0.1342685328,0.1197952744,0.1077933755,0.1258465554,0.008421977362,0.06272487818,0.5818991926,0.006051281013,0.02623511767,1.27165423,0.01514937062,0.1128288982,0.01514937062,0.1128288982,1.823928941,0.5559291916,0.006727393259,0.05010402005,1.798790233,0.00368840754
Austin,478,2024-07-06 17:00:00,budget_1.25,1.25,0,deficit_only,1.823928941,0.1003185385,244,0.1342685328,0.1197952744,0.1077933755,0.1267862836,0.007482249221,0.05572600717,0.5169706107,0.006991009155,0.02623511767,1.27165423,0.01514937062,0.1128288982,0.01514937062,0.1128288982,1.823928941,0.4938983544,0.007667121401,0.05710289106,2.024708102,0.004203629445
Austin,478,2024-07-06 17:00:00,budget_1.25,1.25,0,structure_only,1.823928941,0.05622986392,202,0.1342685328,0.1197952744,0.1077933755,0.1304581963,0.00381033647,0.028378477,0.2632673563,0.01066292191,0.02623511767,1.27165423,0.01514937062,0.1128288982,0.01514937062,0.1128288982,1.823928941,0.2515178066,0.01133903415,0.08445042123,3.975861644,0.006216817935
Austin,478,2024-07-06 17:00:00,budget_1.25,1.25,0,random_positive,1.823928941,0.02591968519,325,0.1342685328,0.1197952744,0.1077933755,0.1308260218,0.003442510952,0.02563900029,0.2378532092,0.01103074742,0.02623511767,1.27165423,0.01514937062,0.1128288982,0.01514937062,0.1128288982,1.823928941,0.2272378858,0.01170685967,0.08718989793,4.400674634,0.006418484518
Austin,478,2024-07-06 17:00:00,budget_1.5,1.5,0,greedy_oracle,2.188714729,0.1534048081,531,0.1342685328,0.1197952744,0.1077933755,0.1171635011,0.01710503172,0.1273941956,1.181836963,-0.002631773349,0.02623511767,1.27165423,0.01710503172,0.1273941956,0.01710503172,0.1273941956,2.188714729,1,0,0,1,0
Austin,478,2024-07-06 17:00:00,budget_1.5,1.5,0,activated_bottleneck_law,2.188714729,0.1534048081,531,0.1342685328,0.1197952744,0.1077933755,0.1171635011,0.01710503172,0.1273941956,1.181836963,-0.002631773349,0.02623511767,1.27165423,0.01710503172,0.1273941956,0.01710503172,0.1273941956,2.188714729,1,0,0,1,0
Austin,478,2024-07-06 17:00:00,budget_1.5,1.5,0,exposure_only,2.188714729,0.1224733892,299,0.1342685328,0.1197952744,0.1077933755,0.124933008,0.009335524793,0.06952876149,0.6450188721,0.005137733583,0.02623511767,1.27165423,0.01710503172,0.1273941956,0.01710503172,0.1273941956,2.188714729,0.5457765261,0.007769506932,0.05786543407,1.832251759,0.003549803375
Austin,478,2024-07-06 17:00:00,budget_1.5,1.5,0,deficit_only,2.188714729,0.1167215385,296,0.1342685328,0.1197952744,0.1077933755,0.1256987727,0.008569760142,0.06382552906,0.5921099395,0.005903498234,0.02623511767,1.27165423,0.01710503172,0.1273941956,0.01710503172,0.1273941956,2.188714729,0.5010081407,0.008535271583,0.0635686665,1.995975551,0.003899672931
Austin,478,2024-07-06 17:00:00,budget_1.5,1.5,0,structure_only,2.188714729,0.06549866333,245,0.1342685328,0.1197952744,0.1077933755,0.1298421831,0.004426349662,0.0329663963,0.30582952,0.01004690871,0.02623511767,1.27165423,0.01710503172,0.1273941956,0.01710503172,0.1273941956,2.188714729,0.2587747122,0.01267868206,0.09442779927,3.864365229,0.0057927522
