city,event_id,event_start,budget_scale,activated_bottleneck_law,deficit_only,exposure_only,greedy_oracle,random_positive,structure_only,replay_gain_activated_bottleneck_law,replay_gain_deficit_only,replay_gain_exposure_only,replay_gain_greedy_oracle,replay_gain_random_positive,replay_gain_structure_only,proxy_leverage_vs_random_positive,proxy_ratio_vs_random_positive,replay_gain_leverage_vs_random_positive,replay_gain_ratio_vs_random_positive,proxy_leverage_vs_exposure_only,proxy_ratio_vs_exposure_only,replay_gain_leverage_vs_exposure_only,replay_gain_ratio_vs_exposure_only,proxy_leverage_vs_deficit_only,proxy_ratio_vs_deficit_only,replay_gain_leverage_vs_deficit_only,replay_gain_ratio_vs_deficit_only,proxy_leverage_vs_structure_only,proxy_ratio_vs_structure_only,replay_gain_leverage_vs_structure_only,replay_gain_ratio_vs_structure_only,law_fraction_of_oracle_proxy,law_fraction_of_oracle_replay_gain,baseline_objective,recoverable_fraction,top_5pct_value_share,marginal_value_gini,decision_criticality_score,event_peak_positive_abnormal_deficit,event_total_precip
Dallas,57,2019-04-18 12:00:00,0.1,0.008138543662,0.005237260445,0.005712003317,0.008138543662,0.001311543413,0.003779806361,0.004632023545,0.002980768391,0.003250966629,0.004632023545,0.0007464603277,0.002151263517,0.006827000249,6.205317782,0.003885563218,6.205317782,0.002426540345,1.424814239,0.001381056916,1.424814239,0.002901283217,1.553969627,0.001651255155,1.553969627,0.004358737301,2.15316418,0.002480760028,2.15316418,1,1,0.5691464883,0.06232289383,0.1419750557,0.4123877827,0.003648929301,0.04057741584,0.09448824
Dallas,58,2019-04-18 22:00:00,0.1,0.01229060888,0.007909169303,0.00862611317,0.01229060888,0.001386111766,0.005708161501,0.005333031844,0.003431876499,0.003742966414,0.005333031844,0.0006014493068,0.002468046162,0.01090449711,8.866968145,0.004731582538,8.866968145,0.003664495705,1.424814239,0.00159006543,1.424814239,0.004381439572,1.553969627,0.001901155345,1.553969627,0.006582447374,2.15316418,0.002864985683,2.160831482,1,1,0.4339111185,0.09364614235,0.1419750557,0.4123877827,0.005482867238,0.03655756319,0.009842525
Dallas,59,2019-04-23 19:00:00,0.1,0.008577829513,0.005519946698,0.006020314281,0.008577829513,0.001567991248,0.003983825105,0.005410768055,0.003481900778,0.003797525253,0.005410768055,0.0009890657002,0.002512937985,0.007009838265,5.470585072,0.004421702355,5.470585072,0.002557515232,1.424814239,0.001613242802,1.424814239,0.003057882815,1.553969627,0.001928867277,1.553969627,0.004594004409,2.15316418,0.00289783007,2.15316418,1,1,0.6307852175,0.06568683295,0.1419750557,0.4123877827,0.003845883828,0.06215555493,2.210631115
Dallas,60,2019-04-24 11:00:00,0.1,0.00945355772,0.006083489377,0.006634940512,0.00945355772,0.001186168053,0.00439054198,0.006082779599,0.003914349091,0.004269173784,0.006082779599,0.0007632257662,0.002825042166,0.008267389667,7.969829987,0.005319553832,7.969829987,0.002818617207,1.424814239,0.001813605814,1.424814239,0.003370068343,1.553969627,0.002168430507,1.553969627,0.00506301574,2.15316418,0.003257737432,2.15316418,1,1,0.6434381403,0.07239293644,0.1419750557,0.4123877827,0.004238517995,0.06215555493,0.041338605
Dallas,61,2019-04-24 15:00:00,0.1,0.007823972222,0.005034829564,0.005491222649,0.007823972222,0.001300819314,0.003633709076,0.005434859472,0.003497403923,0.003814433714,0.005434859472,0.0009036036902,0.002524126828,0.006523152907,6.014649487,0.004531255781,6.014649487,0.002332749573,1.424814239,0.001620425757,1.424814239,0.002789142658,1.553969627,0.001937455548,1.553969627,0.004190263146,2.15316418,0.002910732643,2.15316418,1,1,0.6946419693,0.05991398588,0.1419750557,0.4123877827,0.003507890684,0.06215555493,0.352362395
Dallas,62,2019-04-28 01:00:00,0.1,0.01165954615,0.007503072093,0.008183204394,0.01165954615,0.002090050679,0.00541507529,0.00199221947,0.001282019568,0.001398231022,0.00199221947,0.0003571185021,0.0009252520028,0.009569495466,5.578594942,0.001635100968,5.578594942,0.003476341751,1.424814239,0.000593988448,1.424814239,0.004156474052,1.553969627,0.0007101999021,1.553969627,0.006244470855,2.15316418,0.001066967467,2.15316418,1,1,0.1708659535,0.08906290776,0.1419750557,0.4123877827,0.005214524452,0.01786907333,0.053149635
Dallas,63,2019-04-28 09:00:00,0.1,0.009663429874,0.006218544882,0.006782238418,0.009663429874,0.001154832467,0.004488013485,0.003264306325,0.002100624277,0.002291039936,0.003264306325,0.0003901023732,0.001516050822,0.008508597406,8.367819702,0.002874203951,8.367819702,0.002881191455,1.424814239,0.0009732663881,1.424814239,0.003444884991,1.553969627,0.001163682048,1.553969627,0.005175416389,2.15316418,0.001748255502,2.15316418,1,1,0.3377999703,0.07400008392,0.1419750557,0.4123877827,0.004332614517,0.02141410712,0.005905515
Dallas,64,2019-04-30 18:00:00,0.1,0.007164930372,0.004610727421,0.005028676844,0.007164930372,0.001817037073,0.003327628446,0.004454373078,0.002866447966,0.003126283381,0.004454373078,0.001129635683,0.002068756819,0.0053478933,3.94319438,0.003324737395,3.94319438,0.002136253529,1.424814239,0.001328089697,1.424814239,0.002554202951,1.553969627,0.001587925112,1.553969627,0.003837301927,2.15316418,0.00238561626,2.15316418,1,1,0.6216910488,0.05486721131,0.1419750557,0.4123877827,0.003212408198,0.05493827201,0.005905515
Houston,52,2019-04-04 01:00:00,0.1,0.0173342612,0.01267662872,0.01361757304,0.0173342612,0.001887793882,0.005406169839,0.001424366077,0.00106990997,0.001154176803,0.001424366077,0.0001637392864,0.0004479672216,0.01544646732,9.182284871,0.00126062679,8.698987934,0.00371668816,1.272933227,0.0002701892734,1.234096953,0.00465763248,1.367418861,0.0003544561065,1.331295264,0.01192809136,3.206384874,0.0009763988552,3.179621205,1,1,0.08955559994,0.1091826237,0.1544004335,0.4273693615,0.007204526209,0.01393183624,0.58267748
Houston,60,2019-04-18 05:00:00,0.1,0.01408759314,0.0102387651,0.01106703229,0.01408759314,0.001422759207,0.004445760542,0.006440129227,0.004490625231,0.004800428898,0.006440129227,0.0006504129599,0.001829692208,0.01266483393,9.901600404,0.005789716267,9.901600404,0.003020560842,1.272933227,0.001639700329,1.341573714,0.003848828033,1.375907445,0.001949503996,1.43412752,0.009641832594,3.168770113,0.004610437019,3.519788301,1,1,0.457149008,0.09387180327,0.1544004335,0.4273693615,0.006194226188,0.0527549075,0.86220519
Houston,61,2019-04-24 21:00:00,0.1,0.01853218576,0.01355267672,0.01455864719,0.01853218576,0.002630352001,0.005848384419,0.006653552177,0.00470520922,0.005001715625,0.006653552177,0.0009443669795,0.001940672716,0.01590183376,7.045515485,0.005709185198,7.045515485,0.003973538566,1.272933227,0.001651836553,1.330253992,0.004979509038,1.367418861,0.001948342958,1.414082109,0.01268380134,3.168770113,0.004712879461,3.428477209,1,1,0.3590268447,0.1188566112,0.1544004335,0.4273693615,0.007842874089,0.03057047768,0.01181103
Houston,62,2019-04-30 03:00:00,0.1,0.01778786826,0.01300835375,0.01397392092,0.01778786826,0.001786799071,0.005613492813,0.007229279599,0.005286806996,0.005679229234,0.007229279599,0.0007261842669,0.002252681686,0.01600106919,9.955158668,0.006503095332,9.955158668,0.003813947337,1.272933227,0.001550050365,1.272933227,0.004779514512,1.367418861,0.001942472603,1.367418861,0.01217437544,3.168770113,0.004976597913,3.209188251,1,1,0.4064162998,0.1178913158,0.1544004335,0.4273693615,0.007779178095,0.03738240115,0.01181103
New York,98,2019-06-02 18:00:00,0.1,0.0497963129,0.03540856712,0.03569748498,0.0497963129,0.003188227006,0.01329318044,0.0004647439775,0.0001942416828,0.0002159143785,0.0004647439775,2.934253191e-05,5.677465054e-05,0.0466080859,15.61881033,0.0004354014456,15.8385779,0.01409882793,1.394952976,0.0002488295991,2.152445709,0.01438774578,1.40633516,0.0002705022948,2.392606834,0.03650313247,3.746004437,0.000407969327,8.185765534,1,1,0.01550511148,0.2564749584,0.2366578348,0.5866248192,0.03560625421,0.01284042645,0.12598432
