city,event_id,unit,t,intervention,lp_cost,greedy_cost,absolute_cost_difference,allocation_preference,marginal_resource_value,finite_deficit_area_value,active_weighted_horizon,origin_exposure_rank,destination_importance_rank,local_remaining_rank,access_remaining_rank,eta_per_cost_rank
Philadelphia,642,505,2,C,4.293873285e-05,0.002660869565,0.002617930832,greedy_more,1.688158238,0.003297544533,2.818677876,1,1,1,0.9750778816,0.001557632399
Philadelphia,642,86,3,C,2.728578456e-05,0.002644833086,0.002617547301,greedy_more,1.474772655,0.002677221722,2.797965963,0.9485981308,0.9984423676,0.9984423676,0.9626168224,0.003115264798
Philadelphia,642,101,4,C,1.788604558e-05,0.00263387619,0.002615990144,greedy_more,1.325860705,0.002302374481,2.766101482,0.9968847352,0.9953271028,0.9953271028,0.8068535826,0.006230529595
Philadelphia,642,314,3,C,2.681120321e-05,0.002642704529,0.002615893326,greedy_more,1.448572077,0.002610068311,2.797965963,0.9890965732,0.9968847352,0.9968847352,0.992211838,0.004672897196
Philadelphia,642,267,4,C,1.780402783e-05,0.002633344542,0.002615540514,greedy_more,1.319522666,0.002287126176,2.766101482,0.9252336449,0.9937694704,0.9937694704,0.9657320872,0.007788161994
Philadelphia,642,48,6,C,0.002614820379,0,0.002614820379,lp_more,1.053119296,0.001754328075,2.641660312,0.7881619938,0.9859813084,0.9859813084,0.9735202492,0.01557632399
Philadelphia,642,53,4,C,1.757232819e-05,0.002631829798,0.00261425747,greedy_more,1.301494709,0.00224400298,2.766101482,0.6791277259,0.992211838,0.992211838,0.9641744548,0.009345794393
Philadelphia,642,550,6,C,0.00261382705,0,0.00261382705,lp_more,1.042229032,0.001730265015,2.641660312,0.7476635514,0.984423676,0.984423676,0.9859813084,0.01713395639
Philadelphia,642,413,5,C,1.166134847e-05,0.002623253463,0.002611592115,greedy_more,1.179191057,0.001983953368,2.717079203,0.4672897196,0.9906542056,0.9906542056,0.9937694704,0.01090342679
San Antonio,500,57,2,R,0,0.03524345158,0.03524345158,greedy_more,0.06813998283,0.002447449967,3.618130329,0.9802631579,1,1,0.9868421053,0.003289473684
San Antonio,500,57,3,R,0,0.03524345158,0.03524345158,greedy_more,0.06693751582,0.002398020217,3.554281144,0.9802631579,1,1,0.9868421053,0.003289473684
San Antonio,500,57,4,R,0,0.03524345158,0.03524345158,greedy_more,0.06530508913,0.002361609611,3.467601749,0.9802631579,1,1,0.9868421053,0.003289473684
San Antonio,500,57,5,R,0,0.03524345158,0.03524345158,greedy_more,0.0630889644,0.002334789079,3.349928868,0.9802631579,1,1,0.9868421053,0.003289473684
San Antonio,500,57,6,R,0,0.03524345158,0.03524345158,greedy_more,0.06008043182,0.002315032722,3.190180325,0.9802631579,1,1,0.9868421053,0.003289473684
San Antonio,500,57,7,R,0,0.03524345158,0.03524345158,greedy_more,0.0559961544,0.002300479929,2.973311353,0.9802631579,1,1,0.9868421053,0.003289473684
San Antonio,500,57,9,R,0.03524345158,0,0.03524345158,lp_more,0.04292423511,0.00228186382,2.279212152,0.9802631579,1,1,0.9868421053,0.003289473684
San Antonio,500,57,10,R,0.03524345158,0,0.03524345158,lp_more,0.03270550847,0.002025379147,1.736613178,0.9802631579,1,1,0.9868421053,0.003289473684
San Antonio,500,214,2,R,0,0.03345975351,0.03345975351,greedy_more,0.05912487933,0.002046618314,3.568089291,0.9967105263,0.9967105263,0.9967105263,0.8782894737,0.006578947368
San Antonio,500,214,3,R,0,0.03345975351,0.03345975351,greedy_more,0.05812330304,0.002005829238,3.507645808,0.9967105263,0.9967105263,0.9967105263,0.8782894737,0.006578947368
San Antonio,500,214,4,R,0,0.03345975351,0.03345975351,greedy_more,0.05675529186,0.001975965908,3.425088582,0.9967105263,0.9967105263,0.9967105263,0.8782894737,0.006578947368
San Antonio,500,214,5,R,0,0.03345975351,0.03345975351,greedy_more,0.05488678257,0.001954101756,3.312327118,0.9967105263,0.9967105263,0.9967105263,0.8782894737,0.006578947368
San Antonio,500,214,6,R,0,0.03345975351,0.03345975351,greedy_more,0.05233466385,0.001938094127,3.158310947,0.9967105263,0.9967105263,0.9967105263,0.8782894737,0.006578947368
San Antonio,500,214,9,R,0.03345975351,0,0.03345975351,lp_more,0.0375846197,0.001911511554,2.268170026,0.9967105263,0.9967105263,0.9967105263,0.8782894737,0.006578947368
San Antonio,500,214,10,R,0.03345975351,0,0.03345975351,lp_more,0.02870236287,0.001696248344,1.732140425,0.9967105263,0.9967105263,0.9967105263,0.8782894737,0.006578947368
San Antonio,500,131,9,R,0.03300993324,0,0.03300993324,lp_more,0.03623313554,0.001821633959,2.265381605,0.8651315789,0.9934210526,0.9934210526,1,0.009868421053
San Antonio,500,131,2,R,0,0.03300993324,0.03300993324,greedy_more,0.05686922816,0.001949531425,3.555599079,0.8651315789,0.9934210526,0.9934210526,1,0.009868421053
San Antonio,500,131,3,R,0,0.03300993324,0.03300993324,greedy_more,0.05591584892,0.001910808686,3.495991547,0.8651315789,0.9934210526,0.9934210526,1,0.009868421053
San Antonio,500,131,4,R,0,0.03300993324,0.03300993324,greedy_more,0.05461165148,0.00188250204,3.414450029,0.8651315789,0.9934210526,0.9934210526,1,0.009868421053
San Antonio,500,131,5,R,0,0.03300993324,0.03300993324,greedy_more,0.05282754409,0.001861809645,3.302903401,0.8651315789,0.9934210526,0.9934210526,1,0.009868421053
San Antonio,506,57,9,C,4.044920841e-05,0.002660869565,0.002620420357,greedy_more,1.585379717,0.0001893410352,2.0725,0.9802631579,1,1,0.9868421053,0.003289473684
San Antonio,506,170,0,C,0.002614369015,0,0.002614369015,lp_more,1.439759379,0.002632919552,2.840891403,0.8782894737,0.9802631579,0.9802631579,0.9736842105,0.02302631579
San Antonio,506,57,8,C,5.491241484e-05,0.002660869565,0.00260595715,greedy_more,1.795456873,0.0003021180284,2.347125,0.9802631579,1,1,0.9868421053,0.003289473684
San Antonio,506,51,0,C,0.002605532513,0,0.002605532513,lp_more,1.30768473,0.002307390152,2.840891403,0.8289473684,0.9769736842,0.9769736842,0.9967105263,0.02631578947
San Antonio,506,280,0,C,0.002605434285,0,0.002605434285,lp_more,1.306228603,0.002303907089,2.840891403,0.8092105263,0.9736842105,0.9736842105,0.9605263158,0.02960526316
San Antonio,506,239,0,C,0.002605058813,0,0.002605058813,lp_more,1.300659971,0.002290611143,2.840891403,0.7894736842,0.9703947368,0.9703947368,0.8157894737,0.03289473684
San Antonio,506,171,0,C,0.002599976062,0,0.002599976062,lp_more,1.225723974,0.00211486704,2.840891403,0.8585526316,0.9671052632,0.9671052632,0.7401315789,0.03618421053
San Antonio,506,165,1,C,0.00259913341,0,0.00259913341,lp_more,1.209628835,0.001491464784,2.83214062,0.9144736842,0.9605263158,0.9605263158,0.8223684211,0.04276315789
San Antonio,506,1,1,C,0.002598096528,0,0.002598096528,lp_more,1.194497143,0.00146620058,2.83214062,1,0.9572368421,0.9572368421,0.9243421053,0.04605263158
San Antonio,506,214,8,C,4.708982054e-05,0.002644806441,0.00259771662,greedy_more,1.5797622,0.0002387195859,2.347125,0.9967105263,0.9967105263,0.9967105263,0.8914473684,0.006578947368
San Antonio,506,131,8,C,4.525281383e-05,0.002640629529,0.002595376715,greedy_more,1.524831003,0.0002241431836,2.347125,0.8651315789,0.9934210526,0.9934210526,1,0.009868421053
San Antonio,506,57,7,C,7.454715241e-05,0.002660869565,0.002586322413,greedy_more,1.932007024,0.0004552200859,2.52563125,0.9802631579,1,1,0.9868421053,0.003289473684
San Antonio,506,214,7,C,6.431801738e-05,0.002644806441,0.002580488424,greedy_more,1.699908091,0.0003612689277,2.52563125,0.9967105263,0.9967105263,0.9967105263,0.8881578947,0.006578947368
San Antonio,506,131,7,C,6.190464534e-05,0.002640629529,0.002578724884,greedy_more,1.640799204,0.0003395876192,2.52563125,0.8651315789,0.9934210526,0.9934210526,1,0.009868421053
San Antonio,506,57,6,C,0.0001012025777,0.002660869565,0.002559666987,greedy_more,2.020764622,0.0006630660248,2.641660312,0.9802631579,1,1,0.9868421053,0.003289473684
San Antonio,506,214,6,C,8.784929123e-05,0.002644806441,0.00255695715,greedy_more,1.778002921,0.0005286539508,2.641660312,0.9967105263,0.9967105263,0.9967105263,0.8848684211,0.006578947368
San Antonio,506,131,6,C,8.468390781e-05,0.002640629529,0.002555945621,greedy_more,1.716178535,0.0004975125357,2.641660312,0.8651315789,0.9934210526,0.9934210526,1,0.009868421053
San Antonio,506,214,5,C,0.0001199896745,0.002644806441,0.002524816766,greedy_more,1.82876456,0.0007572781566,2.717079203,0.9967105263,0.9967105263,0.9967105263,0.8848684211,0.006578947368
San Antonio,506,131,5,C,0.0001158453328,0.002640629529,0.002524784196,greedy_more,1.7651751,0.0007135496198,2.717079203,0.8651315789,0.9934210526,0.9934210526,1,0.009868421053
San Antonio,506,57,5,C,0.0001373890405,0.002660869565,0.002523480525,greedy_more,2.078457061,0.0009452303209,2.717079203,0.9802631579,1,1,0.9868421053,0.003289473684
