city,intervention,rank,unit,total_cost,primitive_cost_share,origin_exposure_rank_pct,destination_importance_rank_pct,initial_deficit_rank_pct,out_degree_rank_pct,in_degree_rank_pct
Chicago,R,7,209,0.7026402551145288,0.03800861289928558,0.14852607709750568,0.9931972789115646,0.9931972789115646,0.5249433106575964,0.971655328798186
Chicago,R,8,257,0.7005306274440765,0.03789449472728478,0.971655328798186,0.9920634920634921,0.9920634920634921,0.8741496598639455,0.8707482993197279
Chicago,S,1,849,0.475691934547526,0.04317119357577252,1.0,1.0,1.0,1.0,0.9982993197278912
Chicago,S,2,411,0.27372832014157034,0.024842082528145366,0.9988662131519275,0.9977324263038548,0.9988662131519275,0.9943310657596371,0.9982993197278912
Chicago,S,3,719,0.24226446324947287,0.021986595272888078,0.9897959183673469,0.9988662131519275,0.9977324263038548,0.9977324263038548,0.9982993197278912
Chicago,S,4,50,0.2337486035906702,0.02121374251021936,0.9977324263038548,0.9489795918367347,0.9489795918367347,0.9926303854875284,0.9546485260770975
Chicago,S,5,31,0.2169370718133299,0.019688019999588278,0.9931972789115646,0.9863945578231292,0.9863945578231292,0.9829931972789115,0.9206349206349206
Chicago,S,6,823,0.21607523560947892,0.019609804467886124,0.9909297052154195,0.9852607709750567,0.9852607709750567,0.9648526077097506,0.9450113378684807
Chicago,S,7,773,0.21381214198890364,0.01940441849078966,0.9943310657596371,0.9886621315192744,0.9886621315192744,0.9909297052154195,0.9875283446712018
Chicago,S,8,551,0.21086095525789875,0.019136584953179544,0.9965986394557823,0.9807256235827665,0.9807256235827665,0.9988662131519275,0.9982993197278912
Dallas,C,1,316,0.8620319807423319,0.11809294008219065,1.0,1.0,1.0,0.9972677595628415,0.9918032786885246
Dallas,C,2,125,0.861539719697545,0.11802550342628287,0.9918032786885246,0.9972677595628415,0.9972677595628415,0.9836065573770492,0.9603825136612022
Dallas,C,3,49,0.8570482772862354,0.11741020416661431,0.9863387978142076,0.994535519125683,0.994535519125683,0.9904371584699454,0.9849726775956285
Dallas,C,4,26,0.8556920871178031,0.11722441467402168,0.8415300546448088,0.9918032786885246,0.9918032786885246,0.9726775956284153,0.8989071038251366
Dallas,C,5,174,0.7691331751577555,0.10536639010876724,0.5765027322404371,0.9890710382513661,0.9890710382513661,0.976775956284153,0.9972677595628415
Dallas,C,6,139,0.6684909648348918,0.09157904256376968,0.9480874316939891,0.9863387978142076,0.9863387978142076,0.657103825136612,0.7745901639344263
Dallas,C,7,24,0.6344013382824167,0.08690897890508853,0.4016393442622951,0.9836065573770492,0.9836065573770492,0.644808743169399,0.9193989071038251
Dallas,C,8,131,0.5545636008358914,0.07597171282309108,0.9781420765027322,0.9808743169398907,0.9808743169398907,0.8278688524590164,0.7896174863387978
Dallas,R,1,316,2.6743143335213637,0.07070737182765746,1.0,1.0,1.0,0.9972677595628415,0.9918032786885246
Dallas,R,2,125,2.6324768870444673,0.06960121319578622,0.9918032786885246,0.9972677595628415,0.9972677595628415,0.9836065573770492,0.9603825136612022
Dallas,R,3,49,2.6179651298494897,0.06921753047046242,0.9863387978142076,0.994535519125683,0.994535519125683,0.9904371584699454,0.9849726775956285
Dallas,R,4,26,2.574997830131791,0.06808149915227055,0.8415300546448088,0.9918032786885246,0.9918032786885246,0.9726775956284153,0.8989071038251366
Dallas,R,5,174,2.296540205935673,0.06071923566458404,0.5765027322404371,0.9890710382513661,0.9890710382513661,0.976775956284153,0.9972677595628415
Dallas,R,6,139,2.153941859272,0.056949015315698855,0.9480874316939891,0.9863387978142076,0.9863387978142076,0.657103825136612,0.7745901639344263
Dallas,R,7,24,1.9063935706964819,0.05040397733485614,0.4016393442622951,0.9836065573770492,0.9836065573770492,0.644808743169399,0.9193989071038251
Dallas,R,8,131,1.5857619304947927,0.041926656505632307,0.9781420765027322,0.9808743169398907,0.9808743169398907,0.8278688524590164,0.7896174863387978
Dallas,S,1,316,0.3188203499953458,0.3043770319929172,1.0,1.0,1.0,0.9972677595628415,0.9918032786885246
Dallas,S,2,179,0.2631580950791493,0.2512364092388415,0.9972677595628415,0.9016393442622951,0.9016393442622951,0.23770491803278687,0.7336065573770492
Dallas,S,3,125,0.2460810872688203,0.23493303038393565,0.9918032786885246,0.9972677595628415,0.9972677595628415,0.9836065573770492,0.9603825136612022
Dallas,S,4,230,0.2193925303430856,0.20945352838430564,0.994535519125683,0.366120218579235,0.366120218579235,0.9521857923497268,0.10792349726775956
Houston,C,1,349,0.6893473094223742,0.07811904433826547,0.9211195928753181,1.0,1.0,0.5903307888040712,0.916030534351145
Houston,C,2,287,0.648518581377144,0.07349220214588366,0.9516539440203562,0.9974554707379135,0.9974554707379135,0.8015267175572519,0.9872773536895675
Houston,C,3,162,0.5836323442399997,0.06613908599300111,0.989821882951654,0.9949109414758269,0.9949109414758269,0.7506361323155216,0.9770992366412213
Houston,C,4,224,0.58232686909739,0.06599114536981439,0.9796437659033079,0.9923664122137404,0.9923664122137404,0.9211195928753181,0.9223918575063613
Houston,C,5,58,0.3854926932539518,0.04368526631607015,0.9592875318066157,0.989821882951654,0.989821882951654,0.9376590330788804,0.9872773536895675
Houston,C,6,238,0.3777998565494923,0.04281348942887773,0.8931297709923665,0.9847328244274809,0.9847328244274809,0.8015267175572519,0.9402035623409669
Houston,C,7,174,0.3776006439262858,0.0427909140165532,0.9872773536895675,0.9821882951653944,0.9821882951653944,0.9631043256997456,0.9669211195928753
Houston,C,8,262,0.3775854533714978,0.042789192574245696,1.0,0.9872773536895675,0.9872773536895675,1.0,1.0
Houston,R,1,349,1.317847673665484,0.12388112381706677,0.9211195928753181,1.0,1.0,0.5903307888040712,0.916030534351145
Houston,R,2,287,1.251032874352219,0.11760035814745262,0.9516539440203562,0.9974554707379135,0.9974554707379135,0.8015267175572519,0.9872773536895675
Houston,R,3,162,1.0440301255003064,0.098141559021093,0.989821882951654,0.9949109414758269,0.9949109414758269,0.7506361323155216,0.9770992366412213
Houston,R,4,224,1.0401856691193943,0.09778017007876676,0.9796437659033079,0.9923664122137404,0.9923664122137404,0.9211195928753181,0.9223918575063613
Houston,R,5,58,0.796860446918256,0.07490696357571687,0.9592875318066157,0.989821882951654,0.989821882951654,0.9376590330788804,0.9872773536895675
Houston,R,6,262,0.6824168349322766,0.06414896509849212,1.0,0.9872773536895675,0.9872773536895675,1.0,1.0
Houston,R,7,238,0.489637574616175,0.046027211049212265,0.8931297709923665,0.9847328244274809,0.9847328244274809,0.8015267175572519,0.9402035623409669
Houston,R,8,174,0.4893420340798525,0.045999429466784536,0.9872773536895675,0.9821882951653944,0.9821882951653944,0.9631043256997456,0.9669211195928753
Houston,S,1,262,0.2907787675296991,0.16663473992143865,1.0,0.9872773536895675,0.9872773536895675,1.0,1.0
Houston,S,2,41,0.132039996807541,0.07566732163484025,0.9974554707379135,0.9720101781170484,0.9720101781170484,0.9631043256997456,0.9338422391857506
Houston,S,3,162,0.12341024001120031,0.07072192176414087,0.989821882951654,0.9949109414758269,0.9949109414758269,0.7506361323155216,0.9770992366412213
Houston,S,4,137,0.1186152226700898,0.06797407165684881,0.9949109414758269,0.9694656488549618,0.9694656488549618,0.8854961832061069,0.8918575063613231
Houston,S,5,174,0.1140465796058366,0.06535594841740712,0.9872773536895675,0.9821882951653944,0.9821882951653944,0.9631043256997456,0.9669211195928753
