city,unit,origin_exposure_p,destination_importance,initial_deficit_b0,local_disturbance_h,out_degree,in_degree,origin_exposure_p_rank_pct,origin_exposure_p_top10,origin_exposure_p_top25,destination_importance_rank_pct,destination_importance_top10,destination_importance_top25,initial_deficit_b0_rank_pct,initial_deficit_b0_top10,initial_deficit_b0_top25,local_disturbance_h_rank_pct,local_disturbance_h_top10,local_disturbance_h_top25,out_degree_rank_pct,out_degree_top10,out_degree_top25,in_degree_rank_pct,in_degree_top10,in_degree_top25
Chicago,497,0.001498120728245759,0.0013430073030103584,0.03601395076514719,0.050908703415069624,416,353,0.7471655328798186,False,False,0.7312925170068028,False,False,0.7312925170068028,False,False,0.7312925170068028,False,False,0.6377551020408163,False,False,0.5209750566893424,False,False
Chicago,576,0.0010526330550897371,0.0017741388340231307,0.03715910962722153,0.052527480351059114,419,604,0.5419501133786848,False,False,0.8560090702947846,False,True,0.8582766439909297,False,True,0.8582766439909297,False,True,0.6468253968253969,False,False,0.8917233560090703,False,True
Chicago,232,0.0013485835541387579,0.0014771556290348478,0.03636861019229151,0.05141004390136034,319,458,0.68140589569161,False,False,0.7755102040816326,False,True,0.7766439909297053,False,True,0.7766439909297053,False,True,0.31405895691609975,False,False,0.7454648526077098,False,False
Chicago,613,0.0013201941838587529,0.0015009277947578882,0.036435104541793426,0.051504039173904746,355,310,0.6723356009070295,False,False,0.7845804988662132,False,True,0.7845804988662132,False,True,0.7845804988662132,False,True,0.42403628117913833,False,False,0.3888888888888889,False,False
Chicago,156,0.0014973529857453935,0.0013198778806049287,0.03594810988088801,0.05081563186978999,435,403,0.7448979591836735,False,False,0.717687074829932,False,False,0.717687074829932,False,False,0.717687074829932,False,False,0.6910430839002267,False,False,0.6513605442176871,False,False
Chicago,702,0.0013948001970683305,0.0014207427410806155,0.03621684850912598,0.05119551618768548,275,387,0.7029478458049887,False,False,0.7562358276643991,False,True,0.7562358276643991,False,True,0.7562358276643991,False,True,0.19784580498866214,False,False,0.6213151927437641,False,False
Chicago,602,0.001720816687191131,0.0010909103036559798,0.035345691252250705,0.04996406322360056,484,384,0.8231292517006803,False,True,0.6167800453514739,False,False,0.6156462585034014,False,False,0.6156462585034014,False,False,0.8214285714285714,False,True,0.608843537414966,False,False
Chicago,701,0.0016996567901650774,0.001110983772856461,0.03540002060784898,0.05004086226930706,501,448,0.8163265306122449,False,True,0.6281179138321995,False,False,0.6292517006802721,False,False,0.6292517006802721,False,False,0.8571428571428571,False,True,0.7301587301587301,False,False
Chicago,132,0.001557441174286161,0.0012346581544574583,0.03573110603554836,0.05050887895411108,576,406,0.7698412698412699,False,True,0.691609977324263,False,False,0.6938775510204082,False,False,0.6938775510204082,False,False,0.9410430839002267,True,True,0.6564625850340136,False,False
Chicago,30,0.001733013832867929,0.001046885501024011,0.035228331299923844,0.04979816520689097,488,336,0.8253968253968254,False,True,0.5941043083900227,False,False,0.5952380952380952,False,False,0.5952380952380952,False,False,0.8316326530612245,False,True,0.4744897959183674,False,False
Chicago,513,0.0016903793353137153,0.0010870297161428549,0.0353344298463728,0.04994814429330565,503,411,0.8106575963718821,False,True,0.6133786848072562,False,False,0.6133786848072562,False,False,0.6133786848072562,False,False,0.8616780045351474,False,True,0.6672335600907029,False,False
Chicago,222,0.0010038779937621394,0.0017709576309574552,0.03715110707002527,0.05251616807339419,375,617,0.518140589569161,False,False,0.8526077097505669,False,True,0.854875283446712,False,True,0.854875283446712,False,True,0.5090702947845805,False,False,0.9013605442176871,True,True
Chicago,871,0.0017322320615044103,0.0010303929616210599,0.03518305617483319,0.049734165066213504,479,314,0.8242630385487528,False,True,0.5850340136054422,False,False,0.5873015873015873,False,False,0.5873015873015873,False,False,0.8089569160997733,False,True,0.40192743764172334,False,False
Chicago,125,0.0013106229245845194,0.0014442333074950154,0.036271483493860855,0.051272747265500095,380,430,0.6700680272108843,False,False,0.7630385487528345,False,True,0.7596371882086168,False,True,0.7596371882086168,False,True,0.5277777777777778,False,False,0.7023809523809523,False,False
Chicago,535,0.0017111121634456252,0.0010387153711296458,0.035207471665099375,0.049768678384699463,483,257,0.81859410430839,False,True,0.5884353741496599,False,False,0.5895691609977324,False,False,0.5895691609977324,False,False,0.8168934240362812,False,True,0.23242630385487528,False,False
Chicago,308,0.0015493754390568436,0.0011969114030657211,0.035622806529838055,0.05035578862941558,376,266,0.7664399092970522,False,True,0.6757369614512472,False,False,0.6768707482993197,False,False,0.6768707482993197,False,False,0.5124716553287982,False,False,0.25170068027210885,False,False
Chicago,643,0.0016053515387675886,0.001138399372018232,0.03547165897366725,0.05014212903513249,445,326,0.780045351473923,False,True,0.6383219954648526,False,False,0.6394557823129252,False,False,0.6394557823129252,False,False,0.7205215419501134,False,False,0.445578231292517,False,False
Chicago,620,0.0013698736125495224,0.0013709975674243335,0.036088650909021816,0.051014298257867505,485,373,0.6882086167800453,False,False,0.7369614512471655,False,False,0.7369614512471655,False,False,0.7369614512471655,False,False,0.8248299319727891,False,True,0.5821995464852607,False,False
Chicago,56,0.0007765871543136089,0.001955743349316702,0.03763928131891291,0.05320624282285893,282,714,0.3707482993197279,False,False,0.891156462585034,False,True,0.891156462585034,False,True,0.891156462585034,False,True,0.21768707482993196,False,False,0.9387755102040817,True,True
Chicago,181,0.0015447926408943269,0.0011861945471193062,0.035597739152143815,0.05032035381403663,404,322,0.7653061224489796,False,True,0.6689342403628118,False,False,0.6700680272108843,False,False,0.6700680272108843,False,False,0.6009070294784581,False,False,0.43253968253968256,False,False
Chicago,804,0.0015333511285920952,0.0011972075232497608,0.03562704633790804,0.05036178194942034,438,275,0.7585034013605442,False,True,0.6768707482993197,False,False,0.6780045351473923,False,False,0.6780045351473923,False,False,0.699546485260771,False,False,0.2732426303854875,False,False
Chicago,69,0.0013568441507756765,0.0013744945485345127,0.03609436540816181,0.05102237617588824,416,345,0.6848072562358276,False,False,0.7392290249433107,False,False,0.7392290249433107,False,False,0.7392290249433107,False,False,0.6377551020408163,False,False,0.49603174603174605,False,False
Chicago,734,0.0020182205406456028,0.0007117961969704989,0.0343368017566763,0.04853791432803196,413,297,0.8832199546485261,False,True,0.35600907029478457,False,False,0.35600907029478457,False,False,0.35600907029478457,False,False,0.6303854875283447,False,False,0.3526077097505669,False,False
Chicago,395,0.0013983857874022825,0.0013203076899321858,0.03595142228135137,0.05082031422230058,357,372,0.7086167800453514,False,False,0.7188208616780045,False,False,0.7188208616780045,False,False,0.7188208616780045,False,False,0.43594104308390025,False,False,0.5770975056689343,False,False
