heuristic,heuristic_label,heuristic_score,city,event_id,event_start,unit,t,intervention,target_value,target_rank_pct,delay_feasible,active_weighted_horizon,active_future_loss_share,law_exposure_term,eta_per_cost,deficit_only_score,deficit_only_rank_pct,exposure_only_score,exposure_only_rank_pct,structure_only_score,structure_only_rank_pct,origin_exposure,destination_importance,od_scarcity,baseline_objective,recoverable_fraction,reason_tags
deficit_only,Highest remaining deficit,1,New York,123,2019-06-30 15:00:00,1286,8,R,0.007025080031,0.7491002571,1,3.638371115,1,0.003819148904,0.138,1,0.9956298201,1,0.9928020566,0.1528350515,0.5236503856,0.001213359003,0.003819148904,0.1528350515,0.2729615004,0.1165328165,below_median_efficiency;short_remaining_window
deficit_only,Highest remaining deficit,1,Dallas,61,2019-04-24 15:00:00,316,8,R,0.007028860475,0.4341666667,1,3.945381166,1,0.008967634277,0.138,1,0.9891666667,1,0.9891666667,0.002732240437,0.03083333333,0.008017046364,0.008967634277,0.002732240437,0.6946419693,0.05991398588,below_median_efficiency;short_remaining_window
deficit_only,Highest remaining deficit,1,Houston,60,2019-04-18 05:00:00,349,10,R,0.007226173625,0.3816666667,1,1.899774959,1,0.01260041731,0.138,1,0.9920833333,1,0.9875,0.4096692112,0.8320833333,0.004592499238,0.01260041731,0.4096692112,0.457149008,0.09387180327,below_median_future_horizon;below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,Austin,485,2024-07-22 23:00:00,16,0,S,0,0.02195526098,0,1.81805645,1,0.01514121248,0.5281537224,0.9130434783,0.7464788732,1,0.9867439934,0.01207729469,0.07166528583,0.01514121248,0.01252995145,0.01207729469,0.1053035213,0.1831544337,delay_blocked;below_median_future_horizon
exposure_only,Highest OD exposure,1,Austin,486,2024-07-23 03:00:00,63,1,R,0,0.01875,0,4.391040715,1,0.02279418415,0.138,1,0.9908333333,1,0.9870833333,0.4589371981,0.905,0.006774787291,0.02279418415,0.4589371981,0.1806597614,0.1435936695,delay_blocked;below_median_efficiency
exposure_only,Highest OD exposure,1,Austin,488,2024-07-23 15:00:00,63,0,R,0,0.01916666667,0,4.464889016,1,0.02279418415,0.138,1,0.9916666667,1,0.9870833333,0.4589371981,0.9016666667,0.006774787291,0.02279418415,0.4589371981,0.08044947701,0.1159705655,delay_blocked;below_median_efficiency
exposure_only,Highest OD exposure,1,Austin,490,2024-07-25 21:00:00,63,0,R,0,0.01958333333,0,4.464889016,1,0.02279418415,0.138,1,0.99125,1,0.9870833333,0.4589371981,0.9025,0.006774787291,0.02279418415,0.4589371981,0.06749221661,0.172772258,delay_blocked;below_median_efficiency
exposure_only,Highest OD exposure,1,Austin,491,2024-07-27 07:00:00,16,0,S,0,0.01958333333,0,1.81805645,1,0.01514121248,0.5281537224,0.9130434783,0.7458333333,1,0.9870833333,0.01207729469,0.07041666667,0.01514121248,0.01252995145,0.01207729469,0.02247193429,0.143484268,delay_blocked;below_median_future_horizon
exposure_only,Highest OD exposure,1,Austin,492,2024-07-28 09:00:00,63,1,R,0,0.02125,0,4.391040715,1,0.02279418415,0.138,1,0.9908333333,1,0.9866666667,0.4589371981,0.89875,0.006774787291,0.02279418415,0.4589371981,0.1299120167,0.1185037345,delay_blocked;below_median_efficiency
exposure_only,Highest OD exposure,1,New York,108,2019-06-16 19:00:00,1166,0,S,0,0.01065643649,0,1.81805645,1,0.003151545251,0.5296456696,0.8417525773,0.2985933504,1,0.9936061381,0,0.005754475703,0.003151545251,0.001977066977,0,0.2806178036,0.1540652389,delay_blocked;below_median_future_horizon
exposure_only,Highest OD exposure,1,Philadelphia,645,2023-07-09 18:00:00,505,0,R,0,0.01278716948,0,3.559554682,1,0.008356878803,0.138,1,0.995882098,1,0.9934980494,0.007788161994,0.0533159948,0.004344521436,0.008356878803,0.007788161994,0.09158145415,0.1343933078,delay_blocked;below_median_efficiency
exposure_only,Highest OD exposure,1,San Antonio,496,2024-07-18 12:00:00,57,0,R,0,0.02125,0,3.699806982,1,0.01464557653,0.138,1,0.9925,1,0.9879166667,0.01315789474,0.09083333333,0.006744911295,0.01464557653,0.01315789474,0.1142010555,0.133067066,delay_blocked;below_median_efficiency
exposure_only,Highest OD exposure,1,San Antonio,503,2024-07-24 09:00:00,1,0,S,0,0.01791666667,0,1.81805645,1,0.0101619414,0.5284934213,0.9309210526,0.745,1,0.9879166667,0.003289473684,0.03875,0.0101619414,0.007884419312,0.003289473684,0.0637757722,0.1339534857,delay_blocked;below_median_future_horizon
exposure_only,Highest OD exposure,1,San Antonio,504,2024-07-24 11:00:00,57,1,R,0,0.01333333333,0,3.66516248,1,0.01464557653,0.138,1,0.9920833333,1,0.9879166667,0.01315789474,0.09583333333,0.006744911295,0.01464557653,0.01315789474,0.06417011406,0.1283785378,delay_blocked;below_median_efficiency
exposure_only,Highest OD exposure,1,New York,109,2019-06-18 07:00:00,1286,9,R,0.002019935119,0.4355800092,1,2.815357804,1,0.003819148904,0.138,1,0.9958734525,1,0.9933516735,0.1528350515,0.5231545163,0.001213359003,0.003819148904,0.1528350515,0.7345846597,0.1478550483,below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,109,2019-06-18 07:00:00,1166,11,S,0.002272307586,0.6180651077,1,1,1,0.003151545251,0.5296456696,0.8412371134,0.3044475011,1,0.9933516735,0,0.005960568547,0.003151545251,0.001977066977,0,0.7345846597,0.1478550483,below_median_future_horizon;short_remaining_window
exposure_only,Highest OD exposure,1,New York,110,2019-06-18 13:00:00,1166,11,S,0.002481734823,0.572162301,1,1,1,0.003151545251,0.5296456696,0.8402061856,0.3248587571,1,0.9928094504,0,0.006420133539,0.003151545251,0.001977066977,0,0.672594944,0.114527596,below_median_future_horizon;short_remaining_window
exposure_only,Highest OD exposure,1,New York,109,2019-06-18 07:00:00,1286,8,R,0.002610422584,0.7762494269,1,3.638371115,1,0.003819148904,0.138,1,0.9958734525,1,0.9933516735,0.1528350515,0.5231545163,0.001213359003,0.003819148904,0.1528350515,0.7345846597,0.1478550483,below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,121,2019-06-25 07:00:00,1286,9,R,0.002778926864,0.4070327553,1,2.815357804,1,0.003819148904,0.138,1,0.9956647399,1,0.9930154143,0.1528350515,0.5317919075,0.001213359003,0.003819148904,0.1528350515,0.5339519264,0.1237967923,below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,110,2019-06-18 13:00:00,1286,8,R,0.002851012192,0.7493579866,1,3.638371115,1,0.003819148904,0.138,1,0.9956343092,1,0.9928094504,0.1528350515,0.5241397021,0.001213359003,0.003819148904,0.1528350515,0.672594944,0.114527596,below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,104,2019-06-11 05:00:00,1286,9,R,0.002885422955,0.4712245781,1,2.815357804,1,0.003819148904,0.138,1,0.996105582,1,0.9937256599,0.1528350515,0.5335352661,0.001213359003,0.003819148904,0.1528350515,0.514244662,0.1487545945,below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,110,2019-06-18 13:00:00,1286,10,C,0.002957689892,0.781201849,1,1.65,1,0.003819148904,0.3156862745,1,0.9956343092,1,0.9928094504,0.1528350515,0.5241397021,0.001213359003,0.003819148904,0.1528350515,0.672594944,0.114527596,below_median_future_horizon;below_median_efficiency;short_remaining_window
exposure_only,Highest OD exposure,1,New York,121,2019-06-25 07:00:00,1166,11,S,0.003126128425,0.5987475915,1,1,1,0.003151545251,0.5296456696,0.8407216495,0.3082851638,1,0.9930154143,0,0.006262042389,0.003151545251,0.001977066977,0,0.5339519264,0.1237967923,below_median_future_horizon;short_remaining_window
exposure_only,Highest OD exposure,1,New York,104,2019-06-11 05:00:00,1166,11,S,0.003245930231,0.6399826915,1,1,1,0.003151545251,0.5296456696,0.8412371134,0.3054954565,1,0.9937256599,0,0.005841627001,0.003151545251,0.001977066977,0,0.514244662,0.1487545945,below_median_future_horizon;short_remaining_window
exposure_only,Highest OD exposure,1,Philadelphia,658,2023-07-29 09:00:00,505,4,S,0.003450069922,0.1551226551,1,0.03049327266,0.375,0.004344521436,0.516025641,0.9735202492,0.8921356421,1,0.9953102453,0.007788161994,0.04220779221,0.004344521436,0.008356878803,0.007788161994,0.0198147851,0.126623227,below_median_future_horizon;below_median_efficiency
exposure_only,Highest OD exposure,1,New York,121,2019-06-25 07:00:00,1286,8,R,0.003591290322,0.7649325626,1,3.638371115,1,0.003819148904,0.138,1,0.9956647399,1,0.9930154143,0.1528350515,0.5317919075,0.001213359003,0.003819148904,0.1528350515,0.5339519264,0.1237967923,below_median_efficiency;short_remaining_window
