hidden_definition,city,event_id,event_start,unit,t,intervention,target_value,target_rank_pct,delay_feasible,active_weighted_horizon,active_future_loss_share,law_exposure_term,eta_per_cost,deficit_only_score,deficit_only_rank_pct,exposure_only_score,exposure_only_rank_pct,structure_only_score,structure_only_rank_pct,origin_exposure,destination_importance,od_scarcity,baseline_objective,recoverable_fraction
target_top5_not_any_simple_top20,Dallas,55,2019-04-17 11:00:00,36,2,R,0.01370098141,0.9775,1,9.225264069,1,0.00669245962,0.1397451954,0.9644808743,0.77,0.9644808743,0.7175,0.01844635552,0.1391666667,0.005544088009,0.00669245962,0.01912568306,0.6297233168,0.06413741853
target_top5_not_any_simple_top20,Dallas,57,2019-04-18 12:00:00,172,3,R,0.01369961491,0.9525,1,8.372697866,1,0.006662776099,0.1397692971,0.9590163934,0.7429166667,0.9590163934,0.6808333333,0.08646869121,0.385,0.005251760719,0.006662776099,0.09016393443,0.5691464883,0.06232289383
target_top5_not_any_simple_top20,Dallas,55,2019-04-17 11:00:00,202,2,R,0.01368053501,0.9766666667,1,9.223809941,1,0.006683172531,0.139752581,0.9617486339,0.7554166667,0.9617486339,0.69875,0.01313864254,0.09291666667,0.004191497768,0.006683172531,0.01366120219,0.6297233168,0.06413741853
target_top5_not_any_simple_top20,Dallas,59,2019-04-23 19:00:00,36,2,R,0.01367791637,0.9775,1,9.225264069,1,0.00669245962,0.1397451954,0.9644808743,0.7691666667,0.9644808743,0.71625,0.01844635552,0.13375,0.005544088009,0.00669245962,0.01912568306,0.6307852175,0.06568683295
target_top5_not_any_simple_top20,Dallas,59,2019-04-23 19:00:00,202,2,R,0.01365750439,0.9766666667,1,9.223809941,1,0.006683172531,0.139752581,0.9617486339,0.7545833333,0.9617486339,0.6975,0.01313864254,0.08833333333,0.004191497768,0.006683172531,0.01366120219,0.6307852175,0.06568683295
target_top5_not_any_simple_top20,Dallas,55,2019-04-17 11:00:00,172,2,R,0.01363555278,0.9758333333,1,9.220522306,1,0.006662776099,0.1397692971,0.9590163934,0.7416666667,0.9590163934,0.68,0.08646869121,0.3879166667,0.005251760719,0.006662776099,0.09016393443,0.6297233168,0.06413741853
target_top5_not_any_simple_top20,Dallas,59,2019-04-23 19:00:00,172,2,R,0.0136125979,0.9758333333,1,9.220522306,1,0.006662776099,0.1397692971,0.9590163934,0.74,0.9590163934,0.6783333333,0.08646869121,0.37,0.005251760719,0.006662776099,0.09016393443,0.6307852175,0.06568683295
target_top5_not_any_simple_top20,Dallas,60,2019-04-24 11:00:00,287,2,R,0.01356934334,0.9791666667,1,9.237173887,1,0.006766702697,0.1396848858,0.9699453552,0.7975,0.9699453552,0.7541666667,0.3630669772,0.7633333333,0.003906269196,0.006766702697,0.3743169399,0.6434381403,0.07239293644
target_top5_not_any_simple_top20,Dallas,60,2019-04-24 11:00:00,36,2,R,0.01340894627,0.9775,1,9.225264069,1,0.00669245962,0.1397451954,0.9644808743,0.7729166667,0.9644808743,0.7145833333,0.01844635552,0.1354166667,0.005544088009,0.00669245962,0.01912568306,0.6434381403,0.07239293644
target_top5_not_any_simple_top20,Dallas,60,2019-04-24 11:00:00,202,2,R,0.01338893569,0.9766666667,1,9.223809941,1,0.006683172531,0.139752581,0.9617486339,0.76,0.9617486339,0.69625,0.01313864254,0.09208333333,0.004191497768,0.006683172531,0.01366120219,0.6434381403,0.07239293644
target_top5_not_any_simple_top20,Dallas,60,2019-04-24 11:00:00,172,2,R,0.01334491226,0.9758333333,1,9.220522306,1,0.006662776099,0.1397692971,0.9590163934,0.7454166667,0.9590163934,0.6775,0.08646869121,0.385,0.005251760719,0.006662776099,0.09016393443,0.6434381403,0.07239293644
target_top5_not_any_simple_top20,Dallas,64,2019-04-30 18:00:00,287,3,R,0.01275017138,0.965,1,8.386178921,1,0.006766702697,0.1396848858,0.9699453552,0.79875,0.9699453552,0.7558333333,0.3630669772,0.77125,0.003906269196,0.006766702697,0.3743169399,0.6216910488,0.05486721131
target_top5_not_any_simple_top20,Dallas,64,2019-04-30 18:00:00,36,3,R,0.0126012187,0.9558333333,1,8.376537148,1,0.00669245962,0.1397451954,0.9644808743,0.77,0.9644808743,0.7170833333,0.01844635552,0.1320833333,0.005544088009,0.00669245962,0.01912568306,0.6216910488,0.05486721131
