feature_set,feature_description,objective_id,objective_description,heldout_city,n_features,n_tokens,n_events,spearman,top_1pct_value_capture,top_5pct_value_capture,top_10pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret
full_interaction,full additive features plus explicit interaction terms,O1_log_value,ordinary log marginal-value regression,Austin,39,18007,15,0.9431521538,0.9505092508,0.9592995713,0.9575243174,0.9613372711,0.7491803279,0.04070042872
full_interaction,full additive features plus explicit interaction terms,O1_log_value,ordinary log marginal-value regression,Chicago,39,26081,13,0.9581619471,0.9409045556,0.9688456076,0.9722922211,0.9611716728,0.836473304,0.03115439238
full_interaction,full additive features plus explicit interaction terms,O1_log_value,ordinary log marginal-value regression,Dallas,39,12000,10,0.9181316738,0.6567246669,0.7978493043,0.8649126247,0.7597740893,0.1666666667,0.2021506957
full_interaction,full additive features plus explicit interaction terms,O1_log_value,ordinary log marginal-value regression,Houston,39,4800,4,0.9688488285,0.9952346713,0.9514379318,0.9465370539,0.9634106271,0.7875,0.04856206824
full_interaction,full additive features plus explicit interaction terms,O1_log_value,ordinary log marginal-value regression,New York,39,50454,24,0.9494905836,0.9667138792,0.9761622667,0.983315889,0.9734614745,0.8355703979,0.02383773332
full_interaction,full additive features plus explicit interaction terms,O1_log_value,ordinary log marginal-value regression,Philadelphia,39,33719,20,0.8829336242,0.9844810538,0.984631049,0.9869417589,0.9837127849,0.8986429492,0.015368951
full_interaction,full additive features plus explicit interaction terms,O1_log_value,ordinary log marginal-value regression,San Antonio,39,25076,19,0.9363765357,0.9505491232,0.9460353335,0.9458509533,0.9503378962,0.7348119374,0.05396466648
full_interaction,full additive features plus explicit interaction terms,O2_event_centered_log,within-event centered log-value regression,Austin,39,18007,15,0.759769918,0.9853386892,0.9511633003,0.9605880985,0.9596587386,0.4761384335,0.04883669966
full_interaction,full additive features plus explicit interaction terms,O2_event_centered_log,within-event centered log-value regression,Chicago,39,26081,13,0.6819292343,0.9803686461,0.9783280715,0.9738194318,0.9801431993,0.8081595312,0.02167192846
full_interaction,full additive features plus explicit interaction terms,O2_event_centered_log,within-event centered log-value regression,Dallas,39,12000,10,0.7737158248,0.9966648079,0.9878343041,0.986315077,0.9900313202,0.7833333333,0.01216569588
full_interaction,full additive features plus explicit interaction terms,O2_event_centered_log,within-event centered log-value regression,Houston,39,4800,4,0.7914252688,0.9854179926,0.9745063708,0.9761542412,0.9783890653,0.8166666667,0.02549362915
full_interaction,full additive features plus explicit interaction terms,O2_event_centered_log,within-event centered log-value regression,New York,39,50454,24,0.7161901261,0.9737481092,0.9572615598,0.9620861272,0.9614536358,0.7457918298,0.0427384402
full_interaction,full additive features plus explicit interaction terms,O2_event_centered_log,within-event centered log-value regression,Philadelphia,39,33719,20,0.6705287967,0.990323311,0.9861505787,0.9834728918,0.9866180905,0.8718696362,0.0138494213
full_interaction,full additive features plus explicit interaction terms,O2_event_centered_log,within-event centered log-value regression,San Antonio,39,25076,19,0.7799279692,0.9890797022,0.9883149976,0.9755209642,0.9879868791,0.8469657751,0.01168500238
full_interaction,full additive features plus explicit interaction terms,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Austin,39,18007,15,0.9431903162,0.9314517916,0.9540085212,0.9594251272,0.9564957999,0.7425136612,0.04599147883
full_interaction,full additive features plus explicit interaction terms,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Chicago,39,26081,13,0.9571107581,0.9396944165,0.9585897107,0.9657503586,0.9529503753,0.8150262309,0.04141028933
full_interaction,full additive features plus explicit interaction terms,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Dallas,39,12000,10,0.9273557687,0.6704841678,0.8363852049,0.9038835218,0.7907181477,0.2666666667,0.1636147951
full_interaction,full additive features plus explicit interaction terms,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Houston,39,4800,4,0.9691468358,0.9993179445,0.9463588716,0.9480413953,0.959067309,0.7875,0.05364112841
full_interaction,full additive features plus explicit interaction terms,O3_top_tail_weighted_log,log-value regression with top-tail action weights,New York,39,50454,24,0.9509103996,0.9287136603,0.9676625167,0.9775110826,0.9609257171,0.8021462625,0.03233748332
full_interaction,full additive features plus explicit interaction terms,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Philadelphia,39,33719,20,0.8843941047,0.9790216742,0.982245144,0.9848939206,0.98137876,0.8927510568,0.01775485599
full_interaction,full additive features plus explicit interaction terms,O3_top_tail_weighted_log,log-value regression with top-tail action weights,San Antonio,39,25076,19,0.9332712414,0.9502806165,0.9355600172,0.9385664967,0.9417196125,0.705914356,0.06443998275
full_interaction,full additive features plus explicit interaction terms,O4_rank_percentile,within-event target rank-percentile regression,Austin,39,18007,15,0.719876497,0.9874291626,0.9389864011,0.9530954555,0.9527064622,0.3995628415,0.06101359892
full_interaction,full additive features plus explicit interaction terms,O4_rank_percentile,within-event target rank-percentile regression,Chicago,39,26081,13,0.5677692264,0.9996641292,0.9894971755,0.9863213634,0.9921639096,0.869329399,0.01050282448
full_interaction,full additive features plus explicit interaction terms,O4_rank_percentile,within-event target rank-percentile regression,Dallas,39,12000,10,0.7857717671,0.99067529,0.9853623974,0.9773508411,0.9873838578,0.7816666667,0.01463760256
full_interaction,full additive features plus explicit interaction terms,O4_rank_percentile,within-event target rank-percentile regression,Houston,39,4800,4,0.7564084948,0.978194103,0.9920531551,0.993682429,0.9918657119,0.9,0.007946844882
full_interaction,full additive features plus explicit interaction terms,O4_rank_percentile,within-event target rank-percentile regression,New York,39,50454,24,0.6722221262,0.9611157912,0.9633342765,0.972847654,0.9628323446,0.777350918,0.03666572348
full_interaction,full additive features plus explicit interaction terms,O4_rank_percentile,within-event target rank-percentile regression,Philadelphia,39,33719,20,0.5768874656,0.9968162988,0.9770739377,0.9801476565,0.9821992336,0.8505149419,0.02292606233
full_interaction,full additive features plus explicit interaction terms,O4_rank_percentile,within-event target rank-percentile regression,San Antonio,39,25076,19,0.7290421274,0.9982848605,0.9753929778,0.9704550317,0.980954114,0.82304844,0.02460702222
full_interaction,full additive features plus explicit interaction terms,O5_event_zscore_log,within-event standardized log-value regression,Austin,39,18007,15,0.7444498715,0.999162181,0.9672333299,0.9669573867,0.9749076359,0.5993442623,0.03276667006
full_interaction,full additive features plus explicit interaction terms,O5_event_zscore_log,within-event standardized log-value regression,Chicago,39,26081,13,0.5666546051,0.9969230259,0.984740331,0.97923347,0.9877466039,0.8315122909,0.015259669
full_interaction,full additive features plus explicit interaction terms,O5_event_zscore_log,within-event standardized log-value regression,Dallas,39,12000,10,0.8047622424,0.9916693997,0.9858266463,0.9672911001,0.9885586383,0.7833333333,0.01417335365
full_interaction,full additive features plus explicit interaction terms,O5_event_zscore_log,within-event standardized log-value regression,Houston,39,4800,4,0.7892616422,0.9931715805,0.9992107054,0.9988411472,0.9897327575,0.95,0.0007892946226
full_interaction,full additive features plus explicit interaction terms,O5_event_zscore_log,within-event standardized log-value regression,New York,39,50454,24,0.6560107177,0.9355685804,0.9521279806,0.9577958688,0.9462904724,0.7627422358,0.04787201944
full_interaction,full additive features plus explicit interaction terms,O5_event_zscore_log,within-event standardized log-value regression,Philadelphia,39,33719,20,0.5788488105,0.9963828503,0.9667201597,0.9719777026,0.9743796054,0.8131471026,0.03327984031
full_interaction,full additive features plus explicit interaction terms,O5_event_zscore_log,within-event standardized log-value regression,San Antonio,39,25076,19,0.7416750783,0.9993614999,0.9895489439,0.9889216604,0.9908253667,0.8357433885,0.01045105607
