city,hour,mean_deficit,p90_deficit,observation_count,precipitation,hour_of_week,hour_of_day,expected_deficit,abnormal_deficit,positive_abnormal_deficit,rain_hour,rain_influence_hour
Philadelphia,2023-07-11 18:00:00,0.0777026659391646,0.2604738765142904,77130,0.0,42,18,0.06643832941586919,0.011264336523295407,0.011264336523295407,False,False
Philadelphia,2023-07-11 19:00:00,0.0607301127277831,0.2161862908308644,77130,0.0,43,19,0.05419500584803785,0.006535106879745248,0.006535106879745248,False,False
Philadelphia,2023-07-11 20:00:00,0.0586264294333586,0.2171692639990166,77130,0.0,44,20,0.0505479007823608,0.008078528650997799,0.008078528650997799,False,False
Philadelphia,2023-07-11 21:00:00,0.0627042768829533,0.2103140481172849,77130,0.0,45,21,0.053705703771678645,0.008998573111274652,0.008998573111274652,False,False
Philadelphia,2023-07-11 22:00:00,0.0516946601878215,0.1818581268494896,77130,0.0,46,22,0.0521932213087801,-0.0004985611209585988,0.0,False,False
Philadelphia,2023-07-11 23:00:00,0.0395888544745218,0.1364043085541909,77129,0.0,47,23,0.0409782141237893,-0.0013893596492675006,0.0,False,False
Philadelphia,2023-07-12 00:00:00,0.0311278782123885,0.1160127202604428,77130,0.0,48,0,0.03069336630448045,0.00043451190790804936,0.00043451190790804936,False,False
Philadelphia,2023-07-12 01:00:00,0.0260649919776099,0.0984329106436145,77130,0.0,49,1,0.024923086011265347,0.0011419059663445516,0.0011419059663445516,False,False
Philadelphia,2023-07-12 02:00:00,0.0231698716763948,0.0854082397261549,77130,0.0,50,2,0.02154146955942755,0.0016284021169672494,0.0016284021169672494,False,False
Philadelphia,2023-07-12 03:00:00,0.0216913201049988,0.0796433095058896,77130,0.0,51,3,0.019982552140834553,0.0017087679641642484,0.0017087679641642484,False,False
Philadelphia,2023-07-12 04:00:00,0.0225593447193221,0.079034794423753,77126,0.0,52,4,0.02118906375279515,0.0013702809665269503,0.0013702809665269503,False,False
Philadelphia,2023-07-12 05:00:00,0.0368817654124069,0.1379894250909779,77106,0.0,53,5,0.03332606281760875,0.003555702594798149,0.003555702594798149,False,False
Philadelphia,2023-07-12 06:00:00,0.0506804447148101,0.1949002245738642,77118,0.0,54,6,0.0506804447148101,0.0,0.0,False,False
Philadelphia,2023-07-12 07:00:00,0.0643503778466969,0.2323762852702056,77048,0.0,55,7,0.0632549701468943,0.0010954076998025974,0.0010954076998025974,False,False
Philadelphia,2023-07-12 08:00:00,0.0756430852875334,0.2570824362641463,77014,0.0,56,8,0.0752700272102186,0.0003730580773148029,0.0003730580773148029,False,False
Philadelphia,2023-07-12 09:00:00,0.0797157259118114,0.2642655677655677,76809,0.0,57,9,0.0797157259118114,0.0,0.0,False,False
Philadelphia,2023-07-12 10:00:00,0.0779147845290791,0.2538797718226046,76764,0.0,58,10,0.0779147845290791,0.0,0.0,False,False
Philadelphia,2023-07-12 11:00:00,0.0794847822437824,0.2582049805316359,76764,0.0,59,11,0.0794847822437824,0.0,0.0,False,False
Philadelphia,2023-07-12 12:00:00,0.0794183533894076,0.25868665317139,76788,0.0,60,12,0.0792890012966095,0.00012935209279810178,0.00012935209279810178,False,False
Philadelphia,2023-07-12 13:00:00,0.0789203837054844,0.2584961523238058,76788,0.0,61,13,0.0789203837054844,0.0,0.0,False,False
Philadelphia,2023-07-12 14:00:00,0.07660488502024,0.2585834194331406,76788,0.0,62,14,0.07660488502024,0.0,0.0,False,False
Philadelphia,2023-07-12 15:00:00,0.0737694302133596,0.2588306622110073,77022,0.0,63,15,0.0723611264008926,0.00140830381246701,0.00140830381246701,False,False
Philadelphia,2023-07-12 16:00:00,0.0764094202837589,0.2662326350860713,77142,0.0,64,16,0.0764094202837589,0.0,0.0,False,False
Philadelphia,2023-07-12 17:00:00,0.081880030526522,0.285899238272384,77142,0.0,65,17,0.081880030526522,0.0,0.0,False,False
Philadelphia,2023-07-12 18:00:00,0.0800301055189248,0.2814171738032888,77142,0.0,66,18,0.0767651890835077,0.003264916435417098,0.003264916435417098,False,False
Philadelphia,2023-07-12 19:00:00,0.0669295251312347,0.2430438168975902,77142,0.0,67,19,0.0622844992338963,0.004645025897338395,0.004645025897338395,False,False
Philadelphia,2023-07-12 20:00:00,0.059133063621481,0.2145024387433056,77124,0.0,68,20,0.059133063621481,0.0,0.0,False,False
Philadelphia,2023-07-12 21:00:00,0.064620334916112,0.2231729550736788,77142,0.0,69,21,0.064620334916112,0.0,0.0,False,False
Philadelphia,2023-07-12 22:00:00,0.0531809229429813,0.1929129331216288,77139,0.0,70,22,0.0531809229429813,0.0,0.0,False,False
Philadelphia,2023-07-12 23:00:00,0.0435541941332153,0.161340974020905,77142,0.0,71,23,0.0400733789521393,0.0034808151810759996,0.0034808151810759996,False,False
Philadelphia,2023-07-13 00:00:00,0.0360725653040606,0.1416421985054587,77142,0.0,72,0,0.0310485478076099,0.005024017496450699,0.005024017496450699,False,False
Philadelphia,2023-07-13 01:00:00,0.0305525976566547,0.1142401329677872,77142,0.0,73,1,0.02639059829017405,0.004161999366480651,0.004161999366480651,False,False
Philadelphia,2023-07-13 02:00:00,0.0256163897720983,0.1032598018761905,77142,0.0,74,2,0.023114538633869898,0.0025018511382284003,0.0025018511382284003,False,False
Philadelphia,2023-07-13 03:00:00,0.0232247850076066,0.0907981670929241,77142,0.0,75,3,0.021766107404628747,0.0014586776029778536,0.0014586776029778536,False,False
Philadelphia,2023-07-13 04:00:00,0.0239876148609221,0.0831662952137377,77142,0.0,76,4,0.023229824873976,0.0007577899869460995,0.0007577899869460995,False,False
Philadelphia,2023-07-13 05:00:00,0.0365687195932658,0.1309427598463627,77142,0.0,77,5,0.0359422627703284,0.0006264568229373962,0.0006264568229373962,False,False
Philadelphia,2023-07-13 06:00:00,0.0507257351159722,0.1863304740401514,77142,0.0,78,6,0.0505539295003034,0.00017180561566879776,0.00017180561566879776,False,False
Philadelphia,2023-07-13 07:00:00,0.0659362521036945,0.2352178128991714,77072,0.0,79,7,0.06326671691723776,0.0026695351864567396,0.0026695351864567396,False,False
Philadelphia,2023-07-13 08:00:00,0.0759890393437677,0.2584764497022586,77038,0.0,80,8,0.0725505243528118,0.0034385149909559043,0.0034385149909559043,False,False
Philadelphia,2023-07-13 09:00:00,0.0807575265806583,0.2692114034740649,76839,0.0,81,9,0.07854897487456255,0.0022085517060957405,0.0022085517060957405,False,False
Philadelphia,2023-07-13 10:00:00,0.0775296026839998,0.2593744204917889,76800,0.0,82,10,0.07837954989764835,-0.000849947213648547,0.0,False,False
Philadelphia,2023-07-13 11:00:00,0.0792929423937442,0.257062790126511,76800,0.0,83,11,0.07937845953821045,-8.55171444662517e-05,0.0,False,False
Philadelphia,2023-07-13 12:00:00,0.0790123325369279,0.2556376978818283,76800,0.0,84,12,0.0790123325369279,0.0,0.0,False,False
Philadelphia,2023-07-13 13:00:00,0.0779871843717761,0.2480397597080581,76800,0.0,85,13,0.0779871843717761,0.0,0.0,False,False
