city,hour,mean_deficit,p90_deficit,observation_count
Houston,2019-04-02 07:00:00,0.03927346814788032,0.13802164452400553,62844
Houston,2019-04-02 08:00:00,0.05058113314874744,0.1955702762494351,62844
Houston,2019-04-02 09:00:00,0.04140532591842279,0.12782362012987014,62826
Houston,2019-04-02 10:00:00,0.03574431600417132,0.09931761390191123,62826
Houston,2019-04-02 11:00:00,0.03642321543440648,0.11098273123428318,62826
Houston,2019-04-02 12:00:00,0.037413005382983366,0.1111953653459963,62826
Houston,2019-04-02 13:00:00,0.03702716753805509,0.10611337885355551,62826
Houston,2019-04-02 14:00:00,0.03609053863116522,0.10756305555572213,62822
Houston,2019-04-02 15:00:00,0.037894862064994046,0.13435116805010192,62826
Houston,2019-04-02 16:00:00,0.03979651852936393,0.13298701172417796,62826
Houston,2019-04-02 17:00:00,0.04331763050274638,0.1496815449705182,62826
Houston,2019-04-02 18:00:00,0.03786828941443026,0.1191752657633294,62826
Houston,2019-04-02 19:00:00,0.019197508975307663,0.014176566340495689,62820
Houston,2019-04-02 20:00:00,0.015572906734288827,0.018514482810114894,62826
Houston,2019-04-02 21:00:00,0.012801261202282123,0.010396619596257279,62826
Houston,2019-04-02 22:00:00,0.010525862944067918,0.012499999999999992,62826
Houston,2019-04-02 23:00:00,0.009178635233782791,0.0,62826
Houston,2019-04-03 00:00:00,0.006345496603355717,0.0,62826
Houston,2019-04-03 01:00:00,0.005997440491860707,0.0,62826
Houston,2019-04-03 02:00:00,0.006124840199503505,0.0,62826
Houston,2019-04-03 03:00:00,0.006024951677086188,0.0,62826
Houston,2019-04-03 04:00:00,0.007421088897388968,0.0,62826
Houston,2019-04-03 05:00:00,0.012709370848145137,0.008974108306261889,62826
Houston,2019-04-03 06:00:00,0.026140489935208695,0.05915558397271954,62826
Houston,2019-04-03 07:00:00,0.044312948254611254,0.15781330123770698,62826
Houston,2019-04-03 08:00:00,0.054230124482629594,0.204668160577028,62824
Houston,2019-04-03 09:00:00,0.04402929130675208,0.13299956154956175,62826
Houston,2019-04-03 10:00:00,0.03673583829993467,0.11047483291562242,62826
Houston,2019-04-03 11:00:00,0.036454272593514546,0.10786041773231031,62814
Houston,2019-04-03 12:00:00,0.03848737863725033,0.12796141098484848,62818
Houston,2019-04-03 13:00:00,0.036720247254424944,0.11013482871171755,62814
Houston,2019-04-03 14:00:00,0.034259584042231374,0.10294807946290997,62808
Houston,2019-04-03 15:00:00,0.038142852805933124,0.1190951242236025,62826
Houston,2019-04-03 16:00:00,0.040913819358787025,0.1471356673007448,62826
Houston,2019-04-03 17:00:00,0.04536674770454389,0.16033667138147378,62826
Houston,2019-04-03 18:00:00,0.04147029089040231,0.14938579749508787,62826
Houston,2019-04-03 19:00:00,0.028613779241675033,0.07715659026230524,62826
Houston,2019-04-03 20:00:00,0.022445989053591492,0.058101997615380575,62826
Houston,2019-04-03 21:00:00,0.019863560884666214,0.04999525118573688,62826
Houston,2019-04-03 22:00:00,0.013194172004559575,0.006696823300566134,62826
Houston,2019-04-03 23:00:00,0.009403156117225872,0.0009421106557376926,62826
Houston,2019-04-04 00:00:00,0.008356350145071769,0.0007936507936508186,62826
Houston,2019-04-04 01:00:00,0.00751879607339416,0.001674863387978167,62826
Houston,2019-04-04 02:00:00,0.007875291243617926,0.001953125,62826
Houston,2019-04-04 03:00:00,0.00636901655902926,0.0,62826
Houston,2019-04-04 04:00:00,0.006795782876930065,0.0,62826
Houston,2019-04-04 05:00:00,0.013760054823260226,0.017710372004491756,62826
Houston,2019-04-04 06:00:00,0.027280496999729967,0.0634155701268006,62826
Houston,2019-04-04 07:00:00,0.0513106842614138,0.17908401982004932,62826
Houston,2019-04-04 08:00:00,0.0678566636999048,0.26454199470240963,62826
Houston,2019-04-04 09:00:00,0.0586795225501556,0.21015674286475927,62826
Houston,2019-04-04 10:00:00,0.04400269331136283,0.14995980339105344,62826
Houston,2019-04-04 11:00:00,0.03783716751119025,0.12163626229699598,62826
Houston,2019-04-04 12:00:00,0.036706371664414976,0.11486115579733569,62826
Houston,2019-04-04 13:00:00,0.036503181743970034,0.11980619649121334,62826
Houston,2019-04-04 14:00:00,0.031720189504082896,0.09540963760972712,62826
Houston,2019-04-04 15:00:00,0.03519261429104382,0.10544304344945099,62814
Houston,2019-04-04 16:00:00,0.03765563982320681,0.12107739961188252,62826
Houston,2019-04-04 17:00:00,0.03872048429617491,0.12861819244743355,62826
Houston,2019-04-04 18:00:00,0.033873800247554854,0.11187350182844553,62826
Houston,2019-04-04 19:00:00,0.02255213511605892,0.054870395840718456,62826
