split_role,split_id,heldout,model_id,family,feature_set,description,n_features,n_train_tokens,n_test_tokens,n_train_events,n_test_events,full_event_eval,train_loss,city,event_id,n_tokens,spearman,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,656,1966,0.9085078824,0.9663112702,0.9707378301,0.7878787879
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,657,2060,0.9049628899,0.9669553903,0.9710845297,0.7766990291
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,658,1386,0.8353804304,0.8699049679,0.878824534,0.5857142857
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,659,1619,0.9248027084,0.9683855444,0.9726735599,0.7901234568
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,491,1205,0.9534367437,0.9505627426,0.9606685776,0.7213114754
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,492,1259,0.9513173454,0.9614452223,0.9680133853,0.746031746
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,493,1258,0.9533356824,0.9614452223,0.9680133853,0.746031746
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,494,1200,0.9537291038,0.9573749683,0.9655437493,0.7333333333
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,495,1200,0.9524305601,0.9494820951,0.9600558078,0.7166666667
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,496,1200,0.954173718,0.9573749683,0.9655437493,0.7333333333
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,497,1200,0.9527120919,0.9573749684,0.9655437493,0.7333333333
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,498,1205,0.9514629345,0.9588422526,0.9664327301,0.737704918
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,499,1200,0.9545271441,0.9573749684,0.9655437493,0.7333333333
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,500,2715,0.9132157908,0.9608209173,0.9635021253,0.7279411765
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,501,1792,0.9320597327,0.9668696839,0.9684471041,0.7777777778
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,502,1242,0.9543491211,0.9614452223,0.9680133853,0.746031746
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,503,1200,0.9534178165,0.9573749684,0.9655437493,0.7333333333
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,504,1200,0.9555148831,0.9573749684,0.9655437493,0.7333333333
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,505,1200,0.9539251817,0.9573749684,0.9655437493,0.7333333333
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,506,1200,0.9521519306,0.9573749683,0.9655437493,0.7333333333
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,507,1200,0.9512082482,0.9419524497,0.9533993909,0.7
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,508,1200,0.9525457716,0.9573749683,0.9655437493,0.7333333333
leave_city,leave_san_antonio,San Antonio,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,145061,25076,86,19,True,,San Antonio,509,1200,0.9549494211,0.9573749684,0.9655437493,0.7333333333
random_event,fold_0,random_event_fold_0,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,137700,32437,83,22,True,,Austin,478,1200,0.9612033462,0.9596157869,0.9648603973,0.8166666667
random_event,fold_0,random_event_fold_0,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,137700,32437,83,22,True,,Austin,479,1200,0.9605635027,0.9596157869,0.9648603973,0.8166666667
random_event,fold_0,random_event_fold_0,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,137700,32437,83,22,True,,Austin,481,1200,0.9626675152,0.9596157869,0.9648603973,0.8166666667
random_event,fold_0,random_event_fold_0,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,137700,32437,83,22,True,,Chicago,146,1331,0.92701225,0.9839592129,0.9853663129,0.8805970149
random_event,fold_0,random_event_fold_0,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,137700,32437,83,22,True,,Chicago,154,2226,0.8690538121,0.9593261254,0.9663984702,0.7767857143
