split_family,heldout_period,split_role,model_id,family,description,n_features,n_train_events,n_test_events,n_train_cities,n_test_cities,n_tokens,n_events,pearson,spearman,mae,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret
within_city_order_tertile,early_tertile,main_within_city_chronological,H4_activated_law,direct_law,hand-built activated bottleneck score,0,71,34,7,7,54492,34,0.243473101,0.6183332763,0.06412607137,1,1,1,0
within_city_order_tertile,early_tertile,main_within_city_chronological,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,71,34,7,7,54492,34,0.2092925359,0.6512295158,0.05107312477,0.9187614366,0.9154043484,0.6619188212,0.0812385634
within_city_order_tertile,early_tertile,main_within_city_chronological,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,71,34,7,7,54492,34,0.5541914345,0.9186282093,0.03615870593,0.9760425656,0.9731040051,0.8380177574,0.02395743436
within_city_order_tertile,early_tertile,main_within_city_chronological,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,71,34,7,7,54492,34,0.5506978338,0.9185269136,0.03660048266,0.959321983,0.9538580836,0.7868200556,0.040678017
within_city_order_tertile,early_tertile,main_within_city_chronological,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,71,34,7,7,54492,34,0.2127788857,0.6568632693,0.05098889571,0.9309511055,0.9238738717,0.7005755651,0.06904889451
within_city_order_tertile,late_tertile,main_within_city_chronological,H1_deficit_only,heuristic,deficit-only one-factor score,0,71,34,7,7,52167,34,0.1028403603,0.2528909766,0.6730311793,0.8470542054,0.8344358853,0.5135830412,0.1529457946
within_city_order_tertile,late_tertile,main_within_city_chronological,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,71,34,7,7,52167,34,0.1598663285,0.3272187357,0.740257293,0.8676557181,0.8522107719,0.5049619056,0.1323442819
within_city_order_tertile,late_tertile,main_within_city_chronological,H3_structure_only,heuristic,static structure-only one-factor score,0,71,34,7,7,52167,34,0.007232676025,-0.01455026467,0.1873011848,0.5064934021,0.4881116351,0.00884262796,0.4935065979
within_city_order_tertile,late_tertile,main_within_city_chronological,H4_activated_law,direct_law,hand-built activated bottleneck score,0,71,34,7,7,52167,34,0.4194575539,0.6664633562,0.05707524249,1,1,1,0
within_city_order_tertile,late_tertile,main_within_city_chronological,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,71,34,7,7,52167,34,0.4327130806,0.6916330176,0.04163663338,0.9222989135,0.9215466777,0.6515898114,0.07770108646
within_city_order_tertile,late_tertile,main_within_city_chronological,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,71,34,7,7,52167,34,0.7159437104,0.9511329938,0.02492722898,0.9544721132,0.9503197224,0.7544184762,0.04552788682
within_city_order_tertile,late_tertile,main_within_city_chronological,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,71,34,7,7,52167,34,0.7162152026,0.952273671,0.02475452743,0.9435666915,0.9379186634,0.7179582999,0.05643330845
within_city_order_tertile,late_tertile,main_within_city_chronological,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,71,34,7,7,52167,34,0.4375949905,0.6855034462,0.04150082034,0.9432746775,0.9372564674,0.7326955318,0.05672532248
within_city_order_tertile,middle_tertile,main_within_city_chronological,H1_deficit_only,heuristic,deficit-only one-factor score,0,68,37,7,7,63478,37,0.1515734689,0.1469426562,0.6892156727,0.8543925991,0.849169941,0.5350298756,0.1456074009
within_city_order_tertile,middle_tertile,main_within_city_chronological,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,68,37,7,7,63478,37,0.2595076708,0.2189339819,0.7628770532,0.878831415,0.8714865326,0.5213735993,0.121168585
within_city_order_tertile,middle_tertile,main_within_city_chronological,H3_structure_only,heuristic,static structure-only one-factor score,0,68,37,7,7,63478,37,-0.06056902073,-0.02180160271,0.1870396304,0.5103514805,0.4961147929,0.01357073923,0.4896485195
within_city_order_tertile,middle_tertile,main_within_city_chronological,H4_activated_law,direct_law,hand-built activated bottleneck score,0,68,37,7,7,63478,37,0.3901148232,0.591015663,0.03787111645,1,1,1,0
within_city_order_tertile,middle_tertile,main_within_city_chronological,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,68,37,7,7,63478,37,0.3823645737,0.6247529515,0.03007081027,0.9361481455,0.9314823279,0.7024974297,0.06385185455
within_city_order_tertile,middle_tertile,main_within_city_chronological,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,68,37,7,7,63478,37,0.9111773054,0.9381090622,0.01203307671,0.9811365186,0.9808142878,0.8578786868,0.01886348142
within_city_order_tertile,middle_tertile,main_within_city_chronological,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,68,37,7,7,63478,37,0.9139564853,0.9400899085,0.01180810951,0.9625325009,0.9529271871,0.7826647793,0.03746749909
within_city_order_tertile,middle_tertile,main_within_city_chronological,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,68,37,7,7,63478,37,0.3865065149,0.634775969,0.03009832647,0.9394013021,0.9333895294,0.7161138127,0.06059869785
calendar_day_phase,early_month,supporting_calendar_phase,H1_deficit_only,heuristic,deficit-only one-factor score,0,86,19,7,6,33705,19,0.1470653464,0.2664616796,0.6727563919,0.8564552044,0.8508913632,0.5498672512,0.1435447956
calendar_day_phase,early_month,supporting_calendar_phase,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,86,19,7,6,33705,19,0.180568803,0.3512623989,0.743892502,0.8690702936,0.8635810975,0.516026421,0.1309297064
calendar_day_phase,early_month,supporting_calendar_phase,H3_structure_only,heuristic,static structure-only one-factor score,0,86,19,7,6,33705,19,-0.1064900474,-0.1051873151,0.2040689595,0.4667495969,0.4488401988,0.01062747697,0.5332504031
calendar_day_phase,early_month,supporting_calendar_phase,H4_activated_law,direct_law,hand-built activated bottleneck score,0,86,19,7,6,33705,19,0.2884162287,0.6801455223,0.0782686656,1,1,1,0
calendar_day_phase,early_month,supporting_calendar_phase,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,86,19,7,6,33705,19,0.2315425213,0.6923331026,0.06214196856,0.9303193795,0.9308542794,0.7039880007,0.06968062048
calendar_day_phase,early_month,supporting_calendar_phase,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,86,19,7,6,33705,19,0.6015715177,0.8813350635,0.04861741635,0.9768105018,0.976509104,0.8603891673,0.02318949818
calendar_day_phase,early_month,supporting_calendar_phase,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,86,19,7,6,33705,19,0.5990481256,0.8820906872,0.04874926489,0.9729049858,0.9703277841,0.8541615115,0.02709501415
calendar_day_phase,early_month,supporting_calendar_phase,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,86,19,7,6,33705,19,0.2329669941,0.6894984313,0.06193500025,0.9451898265,0.9420398513,0.7514453113,0.05481017354
calendar_day_phase,late_month,supporting_calendar_phase,H1_deficit_only,heuristic,deficit-only one-factor score,0,61,44,7,7,63651,44,0.1078771003,0.2119830264,0.6583663678,0.8419817709,0.8345640188,0.495976191,0.1580182291
calendar_day_phase,late_month,supporting_calendar_phase,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,61,44,7,7,63651,44,0.1695941635,0.2880449659,0.7244184754,0.8814069464,0.8680186437,0.5334866496,0.1185930536
calendar_day_phase,late_month,supporting_calendar_phase,H3_structure_only,heuristic,static structure-only one-factor score,0,61,44,7,7,63651,44,0.007682907465,0.01913439577,0.1894321555,0.523991511,0.5102507949,0.01614245673,0.476008489
calendar_day_phase,late_month,supporting_calendar_phase,H4_activated_law,direct_law,hand-built activated bottleneck score,0,61,44,7,7,63651,44,0.3670050659,0.7217466874,0.05289581736,1,1,1,0
calendar_day_phase,late_month,supporting_calendar_phase,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,61,44,7,7,63651,44,0.373941905,0.7595543585,0.04211453937,0.9335386522,0.9310862501,0.6804670567,0.06646134778
calendar_day_phase,late_month,supporting_calendar_phase,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,61,44,7,7,63651,44,0.7283659173,0.9525337108,0.02354180511,0.9409523953,0.9364336779,0.7021979083,0.0590476047
calendar_day_phase,late_month,supporting_calendar_phase,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,61,44,7,7,63651,44,0.7274361647,0.9537244255,0.02377515798,0.9224483592,0.9176356102,0.6484557947,0.07755164083
calendar_day_phase,late_month,supporting_calendar_phase,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,61,44,7,7,63651,44,0.3779268209,0.7634989271,0.04212965171,0.9380571733,0.9305413565,0.717143383,0.06194282673
calendar_day_phase,middle_month,supporting_calendar_phase,H1_deficit_only,heuristic,deficit-only one-factor score,0,63,42,7,7,72781,42,0.1695746601,0.1699649192,0.7027603046,0.8591628996,0.8500294173,0.5477335491,0.1408371004
calendar_day_phase,middle_month,supporting_calendar_phase,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,63,42,7,7,72781,42,0.2756323594,0.2384067555,0.7732536502,0.868168379,0.8599836874,0.4987549314,0.131831621
calendar_day_phase,middle_month,supporting_calendar_phase,H3_structure_only,heuristic,static structure-only one-factor score,0,63,42,7,7,72781,42,-0.08895190243,-0.05249439709,0.1873745466,0.4998129745,0.481455688,0.005773776326,0.5001870255
calendar_day_phase,middle_month,supporting_calendar_phase,H4_activated_law,direct_law,hand-built activated bottleneck score,0,63,42,7,7,72781,42,0.4306208948,0.5897624428,0.03944529124,1,1,1,0
calendar_day_phase,middle_month,supporting_calendar_phase,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,63,42,7,7,72781,42,0.428376182,0.6274876162,0.03034354788,0.9277443726,0.9231262443,0.6881788081,0.07225562742
calendar_day_phase,middle_month,supporting_calendar_phase,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,63,42,7,7,72781,42,0.8481516261,0.9622524443,0.01352721629,0.9818056428,0.9765495549,0.8488298024,0.01819435715
calendar_day_phase,middle_month,supporting_calendar_phase,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,63,42,7,7,72781,42,0.8485217583,0.9623862787,0.01352330337,0.967660735,0.9578560061,0.7978221772,0.03233926501
calendar_day_phase,middle_month,supporting_calendar_phase,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,63,42,7,7,72781,42,0.4323746512,0.6335092814,0.03019245855,0.9366138915,0.9298270203,0.7156499405,0.06338610853
