comparison,observed_model,baseline_or_shuffled_model,city,event_id,top_5pct_value_capture_observed,top_5pct_value_capture_baseline,delta_top5_capture,top_5pct_ndcg_observed,top_5pct_ndcg_baseline,delta_top5_ndcg
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Philadelphia,655,0.9892304361,0.5591416967,0.4300887394,0.9917282823,0.5681881241,0.4235401582
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Philadelphia,656,0.9907821843,0.5644530383,0.426329146,0.9928333974,0.5712532076,0.4215801899
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Philadelphia,657,0.9892304361,0.5611271786,0.4281032576,0.9917282823,0.5691114918,0.4226167905
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Philadelphia,658,0.9573858203,0.6332087208,0.3241770995,0.9614566377,0.6173418712,0.3441147665
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,Philadelphia,659,0.9908495598,0.5703928485,0.4204567112,0.9931053126,0.581458929,0.4116463836
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,491,0.9866073716,0.720540976,0.2660663957,0.9899945246,0.7223504526,0.267644072
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,492,0.9862547178,0.7164523743,0.2698023435,0.9897004558,0.7194377265,0.2702627292
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,493,0.9862547178,0.7119950546,0.2742596632,0.9897004558,0.7140415885,0.2756588673
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,494,0.9861245565,0.7229525189,0.2631720376,0.9897102678,0.7238229779,0.2658872899
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,495,0.9861245565,0.7078989531,0.2782256035,0.9897102678,0.6804464824,0.3092637853
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,496,0.9861245565,0.715635144,0.2704894126,0.9897102678,0.7183916621,0.2713186057
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,497,0.9861245566,0.7157194863,0.2704050703,0.9897102678,0.6906037315,0.2991065363
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,498,0.9866073716,0.7016988232,0.2849085484,0.9899945246,0.6889692242,0.3010253004
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,499,0.9861245565,0.7077108292,0.2784137273,0.9897102678,0.7086212243,0.2810890435
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,500,0.9801441692,0.6596879412,0.320456228,0.9836616749,0.6130196117,0.3706420632
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,501,0.9751344825,0.7024304075,0.272704075,0.9813090309,0.7029632091,0.2783458218
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,502,0.9862547178,0.6917855995,0.2944691183,0.9897004558,0.6670699738,0.322630482
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,503,0.9861245565,0.7058489288,0.2802756278,0.9897102678,0.6751103199,0.3145999479
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,504,0.9861245565,0.7147298521,0.2713947044,0.9897102678,0.7162438325,0.2734664353
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,505,0.9861245565,0.7119595352,0.2741650214,0.9897102678,0.6877188922,0.3019913756
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,506,0.9861245565,0.6978219534,0.2883026031,0.9897102678,0.6929430183,0.2967672495
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,507,0.9861245565,0.7147016749,0.2714228817,0.9897102678,0.7181960846,0.2715141832
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,508,0.9861245565,0.7228786719,0.2632458847,0.9897102678,0.7238665251,0.2658437426
graph_only_alignment,G2_graph_only_observed,G3_graph_only_shuffled,San Antonio,509,0.9861245565,0.7224092116,0.2637153449,0.9897102678,0.6949943559,0.2947159119
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,478,0.9553460834,0.6742256503,0.281120433,0.9640456016,0.6805790218,0.2834665799
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,479,0.9553460834,0.6721297827,0.2832163007,0.9640456016,0.674375373,0.2896702286
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,480,0.9553460834,0.6714199414,0.283926142,0.9640456016,0.668612887,0.2954327146
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,481,0.9630423338,0.6835925708,0.2794497631,0.9697031125,0.6901476051,0.2795555074
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,482,0.9553460834,0.6762780211,0.2790680623,0.9640456016,0.6827612255,0.2812843762
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,483,0.9553460834,0.6708604248,0.2844856585,0.9640456016,0.646677559,0.3173680426
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,484,0.9553460834,0.6733260945,0.2820199889,0.9640456016,0.6807342717,0.2833113299
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,485,0.9568933373,0.6687911338,0.2881022036,0.9649606098,0.6729559954,0.2920046144
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,486,0.9553460833,0.6671241203,0.2882219631,0.9640456016,0.6728262273,0.2912193743
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,487,0.9553460834,0.6748598821,0.2804862013,0.9640456016,0.6819017342,0.2821438675
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,488,0.9257366861,0.6700414272,0.2556952588,0.8796743197,0.673544084,0.2061302357
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,489,0.9630423338,0.6835435635,0.2794987703,0.9697000974,0.6907043898,0.2789957075
