model_id,family,description,heldout_city,n_features,n_tokens,n_events,pearson,spearman,mae,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
G7_local_plus_shuffled_od_graph,shuffled_graph,"local dynamics plus shuffled OD exposure, degree, and scarcity",Philadelphia,30,33719,20,0.5923777251,0.8096940369,0.05924606999,0.585758766,0.6060856546,0.003571428571,0.414241234,0.6021864634,0.603088172,0.07133736325,0.3978135366,0.7338653466,0.7003831031,0.3097837096,0.2661346534
G7_local_plus_shuffled_od_graph,shuffled_graph,"local dynamics plus shuffled OD exposure, degree, and scarcity",San Antonio,30,25076,19,0.6518242425,0.8566255898,0.0512671111,0.6831817277,0.6529283333,0.005639097744,0.3168182723,0.671862968,0.6626026616,0.213984898,0.328137032,0.7416222255,0.7162629459,0.3144953215,0.2583777745
G8_factorized_observed_od,observed_graph,low-dimensional activated law with observed OD exposure,Austin,7,18007,15,0.5118985511,0.7231495986,0.05129678047,0.9540352032,0.9714770382,0.8290598291,0.04596479682,0.9596167716,0.9634528048,0.8157741348,0.04038322839,0.9428740066,0.949314445,0.590224977,0.05712599335
G8_factorized_observed_od,observed_graph,low-dimensional activated law with observed OD exposure,Chicago,7,26081,13,0.4145956633,0.4183748979,0.03389305563,0.990499092,0.9933821059,0.8062523743,0.009500907987,0.9714301274,0.9764912175,0.8182275985,0.02856987257,0.9707832449,0.9743690284,0.8064142191,0.0292167551
G8_factorized_observed_od,observed_graph,low-dimensional activated law with observed OD exposure,Dallas,7,12000,10,0.5697949568,0.7484393135,0.03462068914,0.6696037685,0.6538485454,0,0.3303962315,0.8292498315,0.7825687089,0.1666666667,0.1707501685,0.8521596736,0.8153414708,0.4666666667,0.1478403264
G8_factorized_observed_od,observed_graph,low-dimensional activated law with observed OD exposure,Houston,7,4800,4,0.5152664282,0.7239632957,0.02621809463,0.9690579116,0.9798900688,0.8333333333,0.03094208838,0.9497992813,0.9605456983,0.8,0.05020071873,0.9680583245,0.9703821413,0.8083333333,0.03194167547
G8_factorized_observed_od,observed_graph,low-dimensional activated law with observed OD exposure,New York,7,50454,24,0.2587954941,0.37563509,0.01559773722,0.9284009295,0.9183903624,0.4332241235,0.07159907054,0.9093976681,0.9113010676,0.6565494171,0.09060233185,0.9082953021,0.9096640176,0.6515336488,0.09170469786
G8_factorized_observed_od,observed_graph,low-dimensional activated law with observed OD exposure,Philadelphia,7,33719,20,0.3542310966,0.5970497399,0.0757860334,0.965683408,0.9740040126,0.7880746959,0.03431659199,0.9653020332,0.9693936739,0.7900779874,0.03469796684,0.966550682,0.9689928756,0.7537781695,0.03344931805
G8_factorized_observed_od,observed_graph,low-dimensional activated law with observed OD exposure,San Antonio,7,25076,19,0.3041163609,0.7136888125,0.06054541309,0.9589015631,0.9723093233,0.7546430178,0.04109843687,0.957190289,0.9648412308,0.7343595045,0.04280971097,0.9764622834,0.9766285595,0.788141138,0.02353771662
G9_factorized_shuffled_od,shuffled_graph,low-dimensional activated law with shuffled OD exposure,Austin,7,18007,15,0.2812099297,0.4345882855,0.05307720306,0.7038498818,0.7082258774,0.1709401709,0.2961501182,0.6459024327,0.6650862593,0.1498360656,0.3540975673,0.7146745022,0.709245767,0.2892883379,0.2853254978
G9_factorized_shuffled_od,shuffled_graph,low-dimensional activated law with shuffled OD exposure,Chicago,7,26081,13,0.2790605536,0.3668491713,0.03455620638,0.7434745945,0.80978174,0.4441084284,0.2565254055,0.7975456077,0.8035287938,0.4105360474,0.2024543923,0.8209929342,0.8187186829,0.3927761727,0.1790070658
G9_factorized_shuffled_od,shuffled_graph,low-dimensional activated law with shuffled OD exposure,Dallas,7,12000,10,0.2935971547,0.5231283222,0.0437377161,0.6493217805,0.6501763742,0,0.3506782195,0.6570239967,0.6534392009,0,0.3429760033,0.6921151733,0.6808989959,0.1333333333,0.3078848267
G9_factorized_shuffled_od,shuffled_graph,low-dimensional activated law with shuffled OD exposure,Houston,7,4800,4,0.3030324438,0.495629068,0.02302619651,0.3966131786,0.3790620598,0,0.6033868214,0.5719472678,0.522565021,0.1333333333,0.4280527322,0.6992444191,0.6292087625,0.25,0.3007555809
G9_factorized_shuffled_od,shuffled_graph,low-dimensional activated law with shuffled OD exposure,New York,7,50454,24,0.1765403898,0.287978763,0.02526279003,0.5953464099,0.5483676583,0.1861869858,0.4046535901,0.7873879928,0.729627335,0.4956131663,0.2126120072,0.8326585733,0.7826075908,0.5289298015,0.1673414267
G9_factorized_shuffled_od,shuffled_graph,low-dimensional activated law with shuffled OD exposure,Philadelphia,7,33719,20,0.1948613417,0.4220181901,0.07825965503,0.5685724953,0.5408748078,0,0.4314275047,0.5965299155,0.573762655,0.07352977921,0.4034700845,0.7614422738,0.702585684,0.353561281,0.2385577262
G9_factorized_shuffled_od,shuffled_graph,low-dimensional activated law with shuffled OD exposure,San Antonio,7,25076,19,0.1933365571,0.5154038502,0.0693281887,0.4926004656,0.4903814689,0.005639097744,0.5073995344,0.7332285964,0.6707616847,0.3540649277,0.2667714036,0.8121512723,0.7493037419,0.4271007374,0.1878487277
