score_id,selected_cost_capture_top20pct_actions,selected_action_recall_top20pct_actions,selected_cost_capture_top5pct_actions,finite_value_capture_top20pct_actions,small_signal_value_capture_top20pct_actions,top5pct_units_footprint_mass,top5pct_units_selected_share,top5pct_units_count,mean_top5pct_unit_footprint_rank,mean_top5pct_unit_small_signal_rank,mean_top5pct_unit_finite_rank,city,event_id,event_start,v34_delta_finite_top5pct_units_footprint_mass,v35_delta_selected_unit_footprint_mass
small_plus_4p0_footprint,0.9073695821192737,0.8853118712273642,0.6161880261047075,0.5162785021432074,0.4179186001275805,0.1410271414416641,1.0,11,0.7681159420289855,0.9451032059727712,0.9477382520860783,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
small_plus_4p0_finite,1.0000000000000002,1.0,0.756185953901956,0.5131471554672177,0.4427161132740409,0.022604661789077125,1.0,11,0.5006587615283268,0.9754062362758016,0.9165568730786122,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
activation_plus_4p0_footprint,0.9073695821192737,0.8853118712273642,0.6161880261047075,0.5162785021432074,0.4179186001275805,0.1410271414416641,1.0,11,0.7681159420289855,0.9451032059727712,0.9477382520860783,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
small_signal,1.0,1.0,1.0,0.6042516902683627,0.48407624126333293,0.09415190345219948,1.0,45,0.7598387503149407,0.9750566893424035,0.9519778281683045,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
finite_value,0.9770490818059858,0.9645776566757494,0.6818259911529446,0.6833606518104942,0.4391204849878513,0.35261924794831623,0.6666666666666666,45,0.9296044343663391,0.897883597883598,0.9750566893424036,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
footprint_only,0.6971405768503677,0.553133514986376,0.15594529399059787,0.44255652853578176,0.3010344989160104,0.47057896843521363,0.17777777777777778,45,0.9750566893424036,0.6337616528092718,0.8839002267573697,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_x_finite_rank,0.9999999999999997,1.0,0.9917592151449314,0.6053785360296595,0.47667326160828527,0.14890962698851587,1.0,45,0.7978584026203073,0.9744016124968505,0.9594104308390023,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_x_footprint_rank,0.966187640087006,0.9100817438692098,0.8671570858984785,0.5913719059779468,0.44393692382990696,0.1750977838733337,0.8888888888888888,45,0.8922902494331066,0.9669942050894431,0.9670445956160243,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
finite_x_small_rank,0.999231875249687,0.9990917347865577,0.7668435055500542,0.6695774122347549,0.46001801949179844,0.2888009325967136,0.7777777777777778,45,0.8903502141597379,0.9433610481229528,0.9737213403880072,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
activation_no_eta,0.9999999999999999,1.0,0.9008504782145073,0.4713912417937522,0.4114511867208038,0.07985201176087713,1.0,45,0.7499622071050641,0.9739480977576216,0.9464348702443942,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
